experiment,epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count
school1_low_lr_100e,1,0.0004998766400914,2.5166690431632004,0.5272209766816783,0.8497924141682588,0.5698278252567563,458.9759740259741,6.15104130026582,2.2019567154347897,0.4873232490693529,0.70551170501858,0.504560878345122,522.859375,0.0288518536835908,0.0001581816904945,0.0051076005827496,0.1264430014430014,0.0565140277329893,0.0781145531535547,0.1077430546283721,0.152099609375,0.0406447498115614,701,4843,11703,0.5808128118515015,3.6211626387981712,0.6002612671456564,0.8706727629000653,0.25,2180,3,0.0013761467889908,3009,250,0.0830840810900631,5721,401,0.0700926411466526,1494,47,0.0314591700133868,36.41922135675591,0.406735897064209,1024.0,580.2570426000748,0
school1_low_lr_100e,2,0.000499506682107,2.0419149187478154,0.4253115204634604,0.6756665050596385,0.4704684481218263,459.12142857142857,2.200686836939353,2.1144132322321334,0.4925633117867012,0.6907509714365005,0.465549473495533,522.859375,0.0588832646608352,0.0005722342175431,0.0114023012203006,0.1548645786049326,0.1650274105127378,0.1597845601436265,0.1631677746772766,0.2093505859375,0.0868292682926829,2047,11171,10357,0.6051087975502014,8.633572828216852,0.1345525800130633,0.5610711952971914,0.25,2180,26,0.0119266055045871,3009,560,0.1861083416417414,5721,1171,0.2046844957175319,1494,290,0.1941097724230254,35.02487904394156,0.4248404502868652,1024.0,584.9238917001057,0
school1_low_lr_100e,3,0.0004988904911507,1.9284463275562636,0.3921374427807795,0.6681967928425058,0.4340560461987148,459.1077922077922,1.8256261725317349,1.974857426558932,0.4460015969040493,0.6684916792437434,0.4301820777667065,522.859375,0.1795287430286407,0.0027048545889556,0.0399983333516729,0.2744432486132958,0.2672524991938084,0.2708001470408038,0.2719443738460541,0.2479248046875,0.1566043083900226,3315,8764,9089,0.6306854486465454,7.889614630960157,0.1365120836054866,0.4696276943174395,0.25,2180,37,0.0169724770642201,3009,959,0.3187105350614822,5721,1892,0.330711414088446,1494,427,0.285809906291834,35.07180676059828,0.4077425003051758,2048.0,577.6630317000672,0
school1_low_lr_100e,4,0.0004980286753286,1.8541738832151733,0.3688579650765115,0.66375926957502,0.4107783241705461,459.0396103896104,1.687428940000472,1.9247752459098892,0.4444224536418915,0.6639073609064022,0.4082227152151366,522.859375,0.2674926817417145,0.0197856873273849,0.0811093847289157,0.3156486847971467,0.3424701709126088,0.3285128760343361,0.3376421630382538,0.2841796875,0.1965392800962339,4248,9210,8156,0.6669664978981018,8.790333115610713,0.0803396472893533,0.3664271717831482,0.25,2180,49,0.0224770642201834,3009,1163,0.3865071452309737,5721,2471,0.4319174969410942,1494,565,0.3781793842034806,35.26604162593611,0.4073638916015625,2048.0,563.9785078999121,0
school1_low_lr_100e,5,0.0004969220851487,1.799476410429199,0.3522596175020391,0.6604837453984594,0.3933665237643502,459.0123376623376,1.6406988719067015,1.8504973507175844,0.3974601815765102,0.6594173548122247,0.3968099098031719,522.859375,0.2941060364246368,0.0395113974809646,0.1013097258186462,0.4866109991361935,0.27249274427604,0.3493540051679586,0.3687677979469299,0.2122802734375,0.2116468378209142,3380,3566,9024,0.6925121545791626,4.536903984323971,0.1456564337034618,0.426518615284128,0.25,2180,30,0.0137614678899082,3009,726,0.2412761714855433,5721,2183,0.3815766474392589,1494,441,0.2951807228915662,37.74437775348728,0.4248404502868652,2048.0,532.4342588,0
school1_low_lr_100e,6,0.0004955718126821,1.7547545232556083,0.3387191964434339,0.6576327808491595,0.3792012723622384,459.087012987013,1.5947939640902853,1.8363179607937732,0.4164569640221695,0.6562625917916497,0.3817992038093507,522.859375,0.3268013894557953,0.0628625676035881,0.1198779823695076,0.4268440145102781,0.3699613028055466,0.3963722738069531,0.3983891010284424,0.2548828125,0.2471722503501023,4589,6162,7815,0.7024829387664795,7.0222077073807965,0.0894839973873285,0.3252775963422599,0.25,2180,51,0.023394495412844,3009,1053,0.3499501495513459,5721,2842,0.4967662995979723,1494,643,0.4303882195448461,37.2891298646825,0.4074292182922363,4096.0,544.5938176000491,0
school1_low_lr_100e,7,0.0004939791904846,1.7228659245100888,0.3292671051795606,0.6558071000235421,0.3688958605582064,459.038961038961,1.5786178853991744,1.813221075261633,0.4088632359635085,0.6545074507594109,0.374925195860366,522.859375,0.3550827801227569,0.0753732100129127,0.1337752581497625,0.4423929098966027,0.3863269912931312,0.4124634188328456,0.4162164628505707,0.265869140625,0.2598134894816742,4792,6040,7612,0.7048431038856506,7.075114304376225,0.0809928151534944,0.2828216851730895,0.25,2180,65,0.0298165137614678,3009,1203,0.3998005982053838,5721,2765,0.4833071141408844,1494,759,0.5080321285140562,37.1517352446226,0.4075746536254883,4096.0,546.982201400213,0
school1_low_lr_100e,8,0.0004921457902821,1.6951758198149791,0.3207892332274418,0.6540544950729841,0.3601660454040998,459.0506493506493,1.5742111745592835,1.8125062870482604,0.4225037486758083,0.6528105394293865,0.3685960001312196,522.859375,0.3725641369819641,0.0789292082190513,0.1406311421764257,0.4198444173276388,0.4438084488874557,0.4314939645712494,0.440226137638092,0.280517578125,0.2750986957173554,5505,7607,6899,0.7030518054962158,8.564337034617896,0.0431090790333115,0.2279555845852384,0.25,2180,109,0.05,3009,1278,0.4247258225324028,5721,3234,0.5652857891976927,1494,884,0.5917001338688086,37.44725194283036,0.4248404502868652,8192.0,541.4345360998996,0
school1_low_lr_100e,9,0.0004900734214192,1.670548071180071,0.3124283003342616,0.6528148912377172,0.3526524399201591,459.0831168831169,1.5409187307218453,1.7671523032089074,0.3749570816289633,0.6545355822890997,0.3688298195290069,522.859375,0.3865912556648254,0.0873349234461784,0.1506411184003809,0.5157186415729156,0.395436955820703,0.4476386036960986,0.4482392370700836,0.2529296875,0.2883597883597883,4905,4606,7499,0.7180517315864563,6.212279555845853,0.0907903331156107,0.2769431743958197,0.25,2180,86,0.0394495412844036,3009,1174,0.3901628447989365,5721,2882,0.5037580842510051,1494,763,0.5107095046854083,37.700125130487685,0.4078617095947265,8192.0,543.3538540999871,0
school1_low_lr_100e,10,0.0004877641290737,1.6506810878778433,0.3064527194511581,0.6515886774697861,0.3463198457735699,458.9902597402597,1.5232628686861558,1.752542442952593,0.3724812751170248,0.6511303745210171,0.3644653968513012,522.859375,0.4026734232902527,0.1003633067011833,0.1607588366838172,0.511727078891258,0.4063205417607223,0.4529726329034288,0.4537814855575561,0.2474365234375,0.2928019520130134,5040,4809,7364,0.7181826233863831,6.433050293925539,0.1234487263226649,0.2880470280862182,0.25,2180,82,0.0376146788990825,3009,1212,0.4027916251246261,5721,2996,0.5236846705121482,1494,750,0.5020080321285141,37.00855414164699,0.4248404502868652,8192.0,553.0003417998087,0
school1_low_lr_100e,11,0.0004852201922385,1.630201832582424,0.3012705549307458,0.6502218742649276,0.339354701156353,459.0694805194805,1.5230483016797474,1.73401688101391,0.3635209018054108,0.6506979437544942,0.359899019356817,522.859375,0.3957046568393707,0.091582678258419,0.1547497346473392,0.5499428571428572,0.3879393743953563,0.4549494185496833,0.4572793245315552,0.233642578125,0.2944560029372169,4812,3938,7592,0.7206647396087646,5.715218811234487,0.1045068582625734,0.2749836708033965,0.25,2180,84,0.0385321100917431,3009,1108,0.3682286473911598,5721,2855,0.499038629610208,1494,765,0.5120481927710844,36.802808050077786,0.4078254699707031,16384.0,546.5645162998699,0
school1_low_lr_100e,12,0.000482444121472,1.6152473550338249,0.2971720459399285,0.6492935511198911,0.3343908799062302,459.0103896103896,1.5241955857385288,1.7245680478711922,0.3673367709852755,0.6499153580516577,0.3536579627543688,522.859375,0.4316495060920715,0.1133272498846054,0.1754021634988021,0.5301724137931034,0.4462270235407933,0.4845911399054456,0.4851165413856506,0.25244140625,0.3197758391588191,5535,4905,6869,0.7260046601295471,6.81907250163292,0.0692357935989549,0.2129327237099934,0.25,2180,133,0.0610091743119266,3009,1315,0.4370222665337321,5721,3199,0.5591679776262891,1494,888,0.5943775100401606,37.22851175032537,0.407599925994873,16384.0,548.0166547999252,0
school1_low_lr_100e,13,0.0004794386564209,1.599144835131509,0.2929258881064204,0.648216793250728,0.329001077709647,459.0974025974026,1.5178455985985793,1.7093013102809589,0.3599623940729846,0.6490066836898526,0.3501661180829008,522.859375,0.4262168109416961,0.1132450178265571,0.1751900921866763,0.5824036802760207,0.4082554014833924,0.4800227498933599,0.4824078977108001,0.24365234375,0.3158091674462114,5064,3631,7340,0.7303614616394043,5.679294578706728,0.1417374265186153,0.2978445460483344,0.25,2180,112,0.0513761467889908,3009,1174,0.3901628447989365,5721,3085,0.5392413913651459,1494,693,0.463855421686747,38.38641069672419,0.4248404502868652,32768.0,549.5909588998184,0
school1_low_lr_100e,14,0.0004762067631165,1.5850605517238765,0.2874344697149543,0.6477141958165479,0.3249559424527279,459.0253246753247,1.4980094944888895,1.7197351430853207,0.3722588835128893,0.6487608458846807,0.3493577016051858,522.859375,0.4262009561061859,0.1118587106466293,0.1751811147725675,0.5456755114441969,0.4343760077394389,0.4837058981955292,0.4844925105571747,0.2476806640625,0.3190053285968028,5388,4486,7016,0.7294582724571228,6.449379490529066,0.0790333115610712,0.233180927498367,0.25,2180,116,0.0532110091743119,3009,1203,0.3998005982053838,5721,3201,0.5595175668589407,1494,868,0.5809906291834003,40.14234641534867,0.4075574874877929,32768.0,516.1527358000167,0
school1_low_lr_100e,15,0.000472751631047,1.5762472085364454,0.2852177839290786,0.6470389769448862,0.3219952239134869,459.0902597402597,1.4958201593392857,1.6883347040663164,0.3417576694240172,0.6494779443989197,0.3485495451216896,522.859375,0.4343272149562835,0.1069588810205459,0.1755956047330983,0.5889945652173914,0.4193808448887455,0.4899227726502166,0.4955805540084839,0.2261962890625,0.3244355744043907,5202,3630,7202,0.7313447594642639,5.768778576094056,0.1018941868060091,0.225342913128674,0.25,2180,116,0.0532110091743119,3009,1178,0.3914921900963775,5721,3027,0.5291033036182485,1494,881,0.5896921017402945,40.72488250987178,0.4248404502868652,32768.0,506.7405630000867,0
school1_low_lr_100e,16,0.0004690766700109,1.5624950997241132,0.2808454398404468,0.6461953295128686,0.3177271662013871,459.087012987013,1.4749268565085027,1.6846081881473465,0.3397614969095836,0.6484434809535742,0.3482016045600176,522.859375,0.4520735144615173,0.1323260068893432,0.192044532217551,0.6207767223758567,0.4162366978394066,0.4983350224410018,0.5030813813209534,0.23193359375,0.3318549942151947,5163,3154,7241,0.7381007075309753,5.432397126061398,0.0966688438928804,0.2338340953625081,0.25,2180,114,0.0522935779816513,3009,1196,0.3974742439348621,5721,2982,0.5212375458835868,1494,871,0.5829986613119144,41.06410451806017,0.4073696136474609,65536.0,508.3994113001973,0
school1_low_lr_100e,17,0.0004651855067509,1.5542470777189576,0.2789613790326304,0.6456520561273996,0.3148168213278442,459.0441558441559,1.4879723624749617,1.6896415520459414,0.3499631915086259,0.6490983568752805,0.3452899986878037,522.859375,0.4603862166404724,0.1322582811117172,0.194445116375573,0.5682387103234204,0.4575137052563689,0.5069000937876825,0.507509171962738,0.2568359375,0.3394950945202201,5675,4312,6729,0.7312731742858887,6.5231874591770085,0.0862181580666231,0.2090137165251469,0.25,2180,155,0.0711009174311926,3009,1334,0.4433366566965769,5721,3314,0.579269358503758,1494,872,0.5836680053547524,41.75614551112085,0.4258508682250976,65536.0,496.3888989998959,0
school1_low_lr_100e,18,0.0004610819813755,1.5418805469940235,0.2745910572154181,0.6450728273236906,0.311108331798346,459.0785714285714,inf,1.6671156908075015,0.3342631923345228,0.6477358763416609,0.3425583079612503,522.859375,0.4679804146289825,0.1413561999797821,0.2021315424004569,0.6561608300907912,0.4078523057078362,0.5030327135328627,0.5154610872268677,0.2237548828125,0.3360345400199269,5059,2651,7345,0.7417204976081848,5.035924232527759,0.1345525800130633,0.2606139777922926,0.25,2180,113,0.0518348623853211,3009,1183,0.3931538717181788,5721,3006,0.5254326166754064,1494,757,0.5066934404283802,40.723410047999536,0.4248404502868652,32768.0,503.0356757000554,2
school1_low_lr_100e,19,0.0004567701435686,1.5353596115267123,0.2733357426117767,0.6446773023961426,0.3086732840383208,459.1051948051948,1.4778750003158272,1.6728645283728838,0.3332743937304864,0.6483355707799395,0.3456272811939319,522.859375,0.4438294470310211,0.1234819367527961,0.1882793738506734,0.6426972211247202,0.3934214769429216,0.4880732109816472,0.5026355385780334,0.2105712890625,0.3228153734206522,4880,2713,7524,0.7424543499946594,4.9595035924232524,0.1365120836054866,0.2468974526453298,0.25,2180,80,0.036697247706422,3009,996,0.3310069790628115,5721,2966,0.5184408320223737,1494,838,0.5609103078982597,41.76672059375378,0.406959056854248,32768.0,505.95555059984326,0
school1_low_lr_100e,20,0.0004522542485937,1.52392741085647,0.2698615510694005,0.644081258928621,0.3049923002429597,459.1357142857143,1.451984279844668,1.6657816873242457,0.3362048726218442,0.6470552102352182,0.3412608023112018,522.859375,0.4642024040222168,0.1382256746292114,0.1991086830981658,0.6129949931725079,0.4342953885843276,0.50839939599849,0.5112010836601257,0.2364501953125,0.3408415058525783,5387,3401,7017,0.7375426292419434,5.740039190071848,0.109079033311561,0.2233834095362508,0.25,2180,88,0.0403669724770642,3009,1127,0.3745430375540046,5721,3282,0.5736759307813319,1494,890,0.5957161981258366,35.89823111350371,0.4071612358093261,32768.0,583.1072720999364,0
school1_low_lr_100e,21,0.0004475387530939,1.5158683077855544,0.2681221667144979,0.643491737602593,0.3021272024260713,459.0694805194805,1.4661154920017565,1.6408262395610411,0.3254234596000363,0.6461978082855543,0.3346024852556487,522.859375,0.4731203615665436,0.1494035124778747,0.2051784725277684,0.6788180060756697,0.3963237665269268,0.5004581085208185,0.5236467123031616,0.212158203125,0.3337406653088934,4916,2326,7488,0.7480716705322266,4.730241672109732,0.1175702155453951,0.2240365774003919,0.25,2180,80,0.036697247706422,3009,930,0.3090727816550349,5721,3021,0.5280545359202936,1494,885,0.5923694779116466,35.996002068193526,0.4067168235778808,65536.0,563.8291670999024,0
school1_low_lr_100e,22,0.0004426283106939,1.5082149077545512,0.2647528786937911,0.6431993100550267,0.3001313603543616,459.0103896103896,1.4579225074161182,1.6464594944069784,0.327329315089931,0.646057586496075,0.3365362948582818,522.859375,0.4663445949554443,0.14115771651268,0.1995936920924577,0.6507699950322902,0.4224443727829732,0.5123191239734063,0.5217591524124146,0.232421875,0.3443743427970557,5240,2812,7164,0.7440552711486816,5.259307642064011,0.1051600261267145,0.2181580666231221,0.25,2180,146,0.0669724770642201,3009,1051,0.3492854769026254,5721,3113,0.5441356406222688,1494,930,0.6224899598393574,37.7140164879401,0.4067220687866211,65536.0,540.4334376999177,0
school1_low_lr_100e,23,0.0004375277674076,1.5025272182829967,0.2639348487575332,0.642691302725247,0.2979505335065451,459.0694805194805,inf,1.6452226663629217,0.3238408387793849,0.6468042532602946,0.3372887902272244,522.859375,0.4875684380531311,0.1563054770231247,0.2139468484849203,0.6849441157133465,0.4199451789745243,0.5206657004348043,0.5359106063842773,0.213134765625,0.3519594594594594,5209,2396,7195,0.7483356595039368,4.967341606792946,0.1188765512736773,0.2357935989549314,0.25,2180,131,0.060091743119266,3009,1169,0.3885011631771352,5721,3064,0.5355707044223038,1494,845,0.5655957161981259,41.03022204477113,0.406735897064209,32768.0,508.5507944000419,2
school1_low_lr_100e,24,0.0004322421568553,1.4908760116471873,0.2598858651741371,0.6420491328874192,0.2944705078547651,459.0642857142857,1.437199508756786,1.6483454039941232,0.3273506838983546,0.6463359482586384,0.3373293859573702,522.859375,0.4763259589672088,0.1552881151437759,0.210022168958676,0.6900343642611684,0.4047081586584972,0.5101885258397276,0.5251497030258179,0.212890625,0.3424517361347977,5020,2255,7384,0.7486239671707153,4.751796211626388,0.116263879817113,0.2259960809928151,0.25,2180,85,0.0389908256880734,3009,995,0.3306746427384513,5721,3058,0.5345219367243489,1494,882,0.5903614457831325,40.77565643012364,0.407379150390625,32768.0,510.3054998998996,0
school1_low_lr_100e,25,0.0004267766952966,1.4880690251077924,0.259326476182837,0.6420380519195037,0.2933522485970676,459.0551948051948,1.437981419749074,1.6352395645032327,0.3244816722193112,0.6457171722625693,0.3325203600494812,522.859375,0.4965614080429077,0.1679473370313644,0.2221268987632356,0.6773869346733669,0.4346984843598839,0.5295619721076409,0.5381265878677368,0.2177734375,0.360138925995191,5392,2568,7012,0.7492926716804504,5.199216198563031,0.1195297191378184,0.2103200522534291,0.25,2180,131,0.060091743119266,3009,1206,0.4007976071784646,5721,3184,0.5565460583814018,1494,871,0.5829986613119144,40.43759000142401,0.4078068733215332,32768.0,512.6841128999367,0
school1_low_lr_100e,26,0.0004211367764821,1.482019730667015,0.2578235891829063,0.6415574732538941,0.2913193324653359,458.9538961038961,1.4584655618899829,1.6469626345982151,0.3282867954112589,0.6456847690666715,0.3364955363795161,522.859375,0.4771212637424469,0.1530796140432357,0.2092786936133052,0.6465753424657534,0.4376007739438891,0.5219481705851242,0.5300971269607544,0.2220458984375,0.3531325222822197,5428,2967,6976,0.7469399571418762,5.483344219464402,0.0836054866100587,0.1868060091443501,0.25,2180,105,0.0481651376146789,3009,1129,0.3752077102027251,5721,3203,0.5598671560915924,1494,991,0.6633199464524766,40.90980057831258,0.4077491760253906,65536.0,509.579589500092,0
school1_low_lr_100e,27,0.0004153279663309,1.474389795126853,0.2556097250480156,0.6410690936949346,0.2888554885693185,458.9759740259741,inf,1.6445413610587518,0.3315258596558124,0.6455330780396858,0.3337412122637033,522.859375,0.453201562166214,0.1464391350746154,0.1982117844017921,0.6289229224202862,0.4039019671073847,0.491899852724595,0.5086109638214111,0.21533203125,0.326171875,5010,2956,7394,0.7486851215362549,5.203135205747877,0.0960156760287393,0.2031352057478772,0.25,2180,53,0.0243119266055045,3009,850,0.2824858757062147,5721,3196,0.5586435937773117,1494,911,0.6097724230254351,41.27889869886623,0.4065189361572265,32768.0,498.2583037998993,2
school1_low_lr_100e,28,0.0004093559974371,1.4695179835542456,0.2544006626085414,0.6408228374920882,0.2871472423049536,459.0402597402597,1.4396450380226231,1.6411559109886489,0.3316377040464431,0.6453810477008423,0.3320685807460298,522.859375,0.4808241128921509,0.1590524613857269,0.2136361018870957,0.6369682375874326,0.4478394066430183,0.5259171597633137,0.5307977199554443,0.2291259765625,0.3567758509955042,5555,3166,6849,0.7477709650993347,5.696276943174396,0.0822991508817766,0.1770084911822338,0.25,2180,127,0.0582568807339449,3009,1119,0.3718843469591226,5721,3307,0.5780457961894774,1494,1002,0.6706827309236948,41.19263945141931,0.4248404502868652,32768.0,503.6775864001829,0
school1_low_lr_100e,29,0.0004032267634132,1.462664435900651,0.2526942325780144,0.6403736501158058,0.2847982761534777,459.0954545454546,1.4349162909504656,1.6407580443968377,0.3226343252075215,0.6463252197330197,0.3358992519788444,522.859375,0.4702757894992828,0.1478169411420822,0.2055849869691883,0.679654273562903,0.3993872944211544,0.503122937084243,0.5214886665344238,0.2138671875,0.3361150688649162,4954,2335,7450,0.750734269618988,4.760940561724363,0.1143043762246897,0.2142390594382756,0.25,2180,109,0.05,3009,951,0.3160518444666002,5721,2965,0.5182660374060479,1494,929,0.6218206157965194,41.13886123133968,0.4069323539733886,65536.0,498.0619702001568,0
school1_low_lr_100e,30,0.0003969463130731,1.458311885053461,0.2503621051160546,0.6402747012191005,0.2838375386963417,459.07142857142856,1.449494801751979,1.639338885123531,0.3318534668845435,0.6454880833625793,0.3309986689904083,522.859375,0.4914402663707733,0.1685227304697036,0.2203072663629427,0.6198960653303638,0.4712189616252821,0.5354280218018596,0.5368219017982483,0.2408447265625,0.3655866900175131,5845,3584,6559,0.7470983862876892,6.158719790986283,0.0783801436969301,0.1724363161332462,0.25,2180,149,0.068348623853211,3009,1238,0.4114323695579926,5721,3450,0.6030414263240692,1494,1008,0.6746987951807228,41.75810168469594,0.4069375991821289,65536.0,494.1991416998208,0
