epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count
1,0.0009997532801828658,2.3769741398173494,0.49933307267628707,0.7923248824748126,0.5426580926234071,458.97597402597404,4.593221729529368,2.274154902125398,0.6179543011821806,0.6908968621864915,0.4826518694559733,522.859375,0.040516197681427,0.00022432365221902728,0.007337870668641245,0.102562744890395,0.15615930345049983,0.12380952380952381,0.12392107397317886,0.25048828125,0.06598984771573604,1937,16949,10467,0.5978915691375732,12.335728282168517,0.08752449379490529,0.6041802743305029,0.25,2180,2,0.0009174311926605505,3009,344,0.11432369557992689,5721,1402,0.24506205208879567,1494,189,0.12650602409638553,40.94986442795042,0.3569507598876953,1024.0,517.4933044000063,0
2,0.0009990133642141358,1.966936000755855,0.40244417384073333,0.6709847012510547,0.4467535627933292,459.12142857142857,1.6594893522463836,2.0757558178156614,0.517065581244727,0.6703450360024968,0.4441725978006919,522.859375,0.13847917318344116,0.0014764496590942144,0.02822076143531831,0.21176641698785542,0.23476297968397292,0.22267252915312558,0.22482697665691376,0.267822265625,0.125285032052661,2912,10839,9492,0.6166201829910278,8.981711299804049,0.09797517962116264,0.5127367733507512,0.25,2180,9,0.004128440366972477,3009,707,0.23496178132269857,5721,2052,0.3586785527005768,1494,144,0.0963855421686747,40.94011052906094,0.3589344024658203,1024.0,514.5000835999963,0
3,0.00099778098230154,1.8572023295736932,0.3695324170221756,0.6640888226496708,0.41179054545891747,459.1077922077922,1.4469549048643608,1.9965954932073753,0.5132566232544681,0.6600967965399226,0.41162103818108636,522.859375,0.24941669404506683,0.01576847769320011,0.07398349100985797,0.26511074959329245,0.341583360206385,0.29852744310575635,0.3036775290966034,0.27099609375,0.17545239968528717,4237,11745,8167,0.6605678200721741,10.438928804702808,0.09209666884389288,0.3990855649902025,0.25,2180,51,0.023394495412844038,3009,1257,0.41774675972083747,5721,2616,0.4572627163083377,1494,313,0.20950468540829986,40.878368397377606,0.3579573631286621,1024.0,515.1724036000087,0
4,0.000996057350657239,1.7884434643503908,0.34846692740336643,0.6600755383829018,0.38995049982875973,459.0396103896104,1.3694428006936978,2.0845845819761357,0.6475632319537302,0.6554920182873806,0.39076466641078395,522.859375,0.277130126953125,0.026745116338133812,0.08825785107883348,0.21177655131264916,0.4578361818768139,0.2895971443141255,0.3381692171096802,0.334716796875,0.16931516651262635,5679,21137,6725,0.6704855561256409,17.515349444807317,0.014369693011103853,0.23905943827563683,0.25,2180,102,0.046788990825688076,3009,1411,0.4689265536723164,5721,3558,0.6219192448872575,1494,608,0.4069611780455154,41.06283982043118,0.35757875442504883,1024.0,511.3516862999968,0
5,0.0009938441702975688,1.73576570400944,0.3327044700550569,0.6568191912267115,0.37312102035268563,459.01233766233764,1.305414266400523,1.910106726611654,0.4947109652372698,0.6530442709724108,0.3811757448129356,522.859375,0.28739631175994873,0.02197534777224064,0.09093248158405913,0.32025369389461944,0.37044501773621413,0.3435257177033493,0.34872785210609436,0.2685546875,0.20738367107460395,4595,9753,7809,0.6764033436775208,9.371652514696278,0.05421293272370999,0.35924232527759636,0.25,2180,72,0.03302752293577982,3009,1209,0.4017946161515454,5721,3035,0.5305016605488551,1494,279,0.18674698795180722,41.032526800014196,0.3589344024658203,1024.0,509.4362412000046,0
6,0.0009911436253643444,1.6939655351948428,0.3196875303403124,0.6543694680387323,0.3599542688626748,459.087012987013,1.2621674176934476,2.006002309421698,0.6190828213778635,0.6519881303732594,0.3674656787576775,522.859375,0.33316466212272644,0.07005783170461655,0.12645746070629685,0.24138449962377728,0.5172524991938084,0.3291606813051508,0.38747501373291016,0.34423828125,0.19700319331859495,6416,20164,5988,0.6954819560050964,17.36120182887002,0.020901371652514697,0.18027433050293926,0.25,2180,114,0.05229357798165138,3009,1614,0.5363908275174477,5721,3861,0.67488201363398,1494,827,0.5535475234270415,40.92550643431826,0.35764408111572266,1024.0,513.815765899999,0
7,0.0009879583809693736,1.6640525523718301,0.3109770215176917,0.6525261317367678,0.350274698900712,459.038961038961,1.2164332298876404,1.883963896582524,0.5105410146837434,0.649258702682952,0.36208208883181214,522.859375,0.3874424397945404,0.060751158744096756,0.14099167893855338,0.3301847406325018,0.5100773943889068,0.40087435848697967,0.43933430314064026,0.305419921875,0.2506834660644241,6327,12835,6077,0.6959026455879211,12.516002612671457,0.015022860875244938,0.15676028739386022,0.25,2180,176,0.08073394495412844,3009,1624,0.5397141907610502,5721,3616,0.6320573326341549,1494,911,0.6097724230254351,40.915617769994114,0.3577895164489746,1024.0,525.8741695000062,0
8,0.0009842915805643154,1.6400805121118371,0.30419529882537855,0.6509579877574723,0.3424636137466152,459.05064935064934,1.206668714617754,1.910598471139868,0.5525054194343587,0.64830392661194,0.3548945610721906,522.859375,0.388767272233963,0.07022697478532791,0.14530683077464346,0.30606241669347795,0.5368429538858432,0.3898597816223178,0.44764819741249084,0.322265625,0.24212784524761835,6659,15098,5745,0.6989363431930542,14.21097322011757,0.005225342913128674,0.12279555845852384,0.25,2180,155,0.07110091743119266,3009,1583,0.5260884014622799,5721,3904,0.6823981821359902,1494,1017,0.6807228915662651,40.87820085999692,0.3589344024658203,1024.0,519.2482159999927,0
9,0.0009801468428384714,1.6186078128102537,0.2964947554778743,0.6499309017286672,0.33609107913715497,459.0831168831169,1.1547465805496488,1.8002840764820576,0.4475140703531603,0.648202977453669,0.35228351744202274,522.859375,0.44875335693359375,0.0981721580028534,0.17451266457646852,0.36951526425210635,0.5445017736214125,0.4402581318036634,0.4956948757171631,0.324951171875,0.28226345703778,6754,11524,5650,0.7051788568496704,11.938602220770738,0.011103853690398433,0.12671456564337036,0.25,2180,198,0.0908256880733945,3009,1684,0.5596543702226653,5721,3806,0.6652683097360601,1494,1066,0.713520749665328,40.50474613672434,0.3580765724182129,1024.0,515.911067699999,0
10,0.0009755282581475767,1.5991184942134016,0.29104329072809837,0.6487932670813102,0.32964096798912274,458.9902597402597,1.12992016197025,1.7974717648078997,0.4582242267206311,0.6472397344186902,0.3460039009029667,522.859375,0.4330592751502991,0.07962003350257874,0.1644185865579857,0.3736010153455636,0.5220896485004837,0.43553702333714434,0.47611910104751587,0.2978515625,0.2783939472100421,6476,10858,5928,0.7034587860107422,11.322011757021555,0.040496407576747225,0.16851730894839975,0.25,2180,132,0.060550458715596334,3009,1593,0.5294117647058824,5721,3822,0.6680650235972732,1494,929,0.6218206157965194,40.353002815733134,0.3589344024658203,1024.0,523.608653599993,0
11,0.0009704403844771127,1.581071242651382,0.2864633737059383,0.6475145260621975,0.3235466709578192,459.0694805194805,1.1162340098000192,1.726878526310126,0.38232240026506287,0.6467613950371742,0.34889736616363126,522.859375,0.45532795786857605,0.07701225578784943,0.1689122465228138,0.4914304020502963,0.4946791357626572,0.49304941743672154,0.5035061836242676,0.27685546875,0.32718353417937507,6136,6350,6268,0.7082403302192688,8.155453951665578,0.033964728935336384,0.14435009797517961,0.25,2180,128,0.05871559633027523,3009,1479,0.4915254237288136,5721,3564,0.6229680125852124,1494,965,0.6459170013386881,40.06553444227915,0.35804033279418945,1024.0,520.7327785999951,0
12,0.0009648882429441257,1.569704350403377,0.2825334456350122,0.64671616794227,0.320227368979098,459.0103896103896,1.1032034795392642,1.736840395256877,0.40394608218533296,0.6466611968353391,0.34311655707036454,522.859375,0.47217825055122375,0.0927765816450119,0.17971417260305317,0.43580020920502094,0.5374072879716221,0.48129963898916966,0.5163724422454834,0.30712890625,0.31691547019111915,6666,8630,5738,0.7087529897689819,9.990855649902025,0.020901371652514697,0.12540822991508818,0.25,2180,182,0.0834862385321101,3009,1636,0.5437022266533732,5721,3793,0.6629959797238245,1494,1055,0.7061579651941098,40.51650902094441,0.3578147888183594,1024.0,520.7465289999964,0
13,0.0009588773128419905,1.55412430685836,0.27893099712280484,0.6457698325058082,0.3147117385519789,459.0974025974026,1.0759772937406193,1.6892206830283005,0.3590607983060181,0.6462525579457482,0.3419536632330467,522.859375,0.4817155599594116,0.10475381463766098,0.18918458677326272,0.5389231973558319,0.4995162850693325,0.5184720304589766,0.5257810354232788,0.263427734375,0.3499576390850042,6196,5301,6208,0.7154757976531982,7.509470934030046,0.04898758981058132,0.15937295885042455,0.25,2180,178,0.081651376146789,3009,1520,0.5051512130275839,5721,3558,0.6219192448872575,1494,940,0.6291834002677377,40.19810226364364,0.3589344024658203,2048.0,529.5493039000139,0
14,0.0009524135262330098,1.5424232645468279,0.2740690501479359,0.64542041595106,0.3114669002011999,459.02532467532467,1.0817703388728104,1.66383468794326,0.34829829609952867,0.6458602525914708,0.33483806524115306,522.859375,0.5085964202880859,0.13779567182064056,0.21113748887764813,0.5925995846705683,0.5061270557884553,0.5459605183059396,0.5493960380554199,0.263671875,0.3754784688995215,6278,4316,6126,0.7264142036437988,6.919660352710647,0.038536903984323974,0.13847158719790986,0.25,2180,182,0.0834862385321101,3009,1539,0.5114656031904287,5721,3513,0.6140534871525957,1494,1044,0.6987951807228916,40.79981948983897,0.3577723503112793,2048.0,525.8437459999986,0
15,0.0009455032620941839,1.5330162971824794,0.27147565515010386,0.6448152305243852,0.3083627067603074,459.09025974025974,1.055867025140044,1.6517331544309855,0.3374830467316012,0.645979123810927,0.334135491012906,522.859375,0.5106560587882996,0.12048835307359695,0.20658410206415284,0.5761840324763193,0.5149145436955821,0.5438290263527609,0.5539261102676392,0.2734375,0.3734650918021284,6387,4698,6017,0.7210047841072083,7.240365774003919,0.030045721750489876,0.11952971913781842,0.25,2180,146,0.06697247706422019,3009,1485,0.4935194416749751,5721,3633,0.6350288411116938,1494,1123,0.7516733601070951,40.69077579017398,0.3589344024658203,2048.0,514.0116888000048,0
16,0.0009381533400219318,1.5207331890409643,0.2678503841935814,0.6439394753474694,0.3044716656498321,459.087012987013,1.0437636061922295,1.6423888094723225,0.3306300197727978,0.6451461442435781,0.33330632086532813,522.859375,0.5092569589614868,0.1360417902469635,0.208669983848813,0.6240432697214001,0.4929861335053209,0.5508264648921317,0.5528424978256226,0.256591796875,0.38009696668324217,6115,3684,6289,0.72723788022995,6.400391900718485,0.04310907903331156,0.13455258001306336,0.25,2180,143,0.06559633027522936,3009,1437,0.47756729810568294,5721,3471,0.6067121132669113,1494,1064,0.7121820615796519,40.394199512147125,0.35758447647094727,2048.0,518.2601622999937,0
17,0.0009303710135019719,1.5141427254522002,0.2661368736392492,0.6434836518841904,0.3022611003804517,459.04415584415585,1.0525016327182968,1.655112514893214,0.3476927037506054,0.6447658541922768,0.33132698099749786,522.859375,0.5143940448760986,0.12455153465270996,0.20784751416940708,0.5333333333333333,0.5366010964205095,0.5349622247227134,0.5535240769386292,0.28173828125,0.3651525126179504,6656,5824,5748,0.7213931679725647,8.151534944480732,0.028739386022207707,0.11234487263226649,0.25,2180,227,0.10412844036697248,3009,1543,0.5127949484878698,5721,3747,0.654955427372837,1494,1139,0.7623828647925034,40.79478004799863,0.3596968650817871,2048.0,518.4195699999982,0
18,0.0009221639627510076,1.5028936696517003,0.26193686554861534,0.6431425255227399,0.2989071384749629,459.0785714285714,1.022273782321385,1.629350536192457,0.3230615424302717,0.6448377699901661,0.3307256093248725,522.859375,0.5276418924331665,0.15184380114078522,0.22331284840765875,0.6654754169374052,0.4954047081586585,0.5679822534430169,0.5687345862388611,0.25244140625,0.39663073646162783,6145,3089,6259,0.7335015535354614,6.031352057478772,0.06139777922926192,0.14304376224689747,0.25,2180,165,0.07568807339449542,3009,1503,0.4995014955134596,5721,3458,0.6044397832546757,1494,1019,0.6820615796519411,41.07296989231164,0.3589344024658203,2048.0,516.6709035999957,0
19,0.000913540287137281,1.4963204293282002,0.26117236279918776,0.6425643435933374,0.2962918621185538,459.1051948051948,1.0347236881008397,1.6210309683034818,0.3068214322750767,0.6456230736027161,0.3342932316785057,522.859375,0.5209419131278992,0.1498960703611374,0.22074950436908694,0.7227313798889893,0.45138664946791357,0.5557044315418589,0.5633597373962402,0.224609375,0.384758108851017,5599,2148,6805,0.7381103038787842,5.06009144350098,0.07772697583278902,0.1659046374918354,0.25,2180,121,0.055504587155963306,3009,1283,0.42638750415420407,5721,3176,0.5551477014507953,1494,1019,0.6820615796519411,40.596406519494955,0.3571739196777344,2048.0,511.68227570000454,0
20,0.0009045084971874739,1.486667952909098,0.25786321429753456,0.6420091142902127,0.2933978117808893,459.1357142857143,1.005112361907959,1.6174635713299115,0.32148027458849054,0.6447737812995911,0.32560475597468513,522.859375,0.5368945598602295,0.19457709789276123,0.2445618927507894,0.6425678412312678,0.5116091583360206,0.5696588868940754,0.5704841017723083,0.25244140625,0.39826785490146854,6346,3530,6058,0.7446267604827881,6.450685826257348,0.050293925538863485,0.13716525146962769,0.25,2180,162,0.07431192660550459,3009,1477,0.490860751080093,5721,3609,0.6308337703198742,1494,1098,0.7349397590361446,40.967890599843436,0.3573760986328125,2048.0,520.4275531000167,0
21,0.0008950775061878453,1.4793178176725066,0.25630478040351495,0.6414517206805093,0.29078065801363484,459.0694805194805,1.009386953866327,1.6091751866042614,0.3119120462797582,0.6441065830489,0.3265782753781726,522.859375,0.539449155330658,0.17389410734176636,0.23547778833890334,0.6641759629551673,0.5087874879071267,0.57618917191637,0.5775933861732483,0.256591796875,0.4046809874959923,6311,3191,6093,0.737896203994751,6.206401045068582,0.052906596995427824,0.131939908556499,0.25,2180,167,0.07660550458715597,3009,1445,0.480225988700565,5721,3579,0.6255899318300996,1494,1120,0.749665327978581,40.00677095604735,0.3569316864013672,2048.0,524.2184522000025,0
22,0.0008852566213878948,1.4720306347716938,0.25284995693568285,0.6414480453961855,0.2888663154821117,459.0103896103896,0.9996209655102197,1.6057449771712224,0.3069822979935755,0.6444882921253642,0.32713719449626905,522.859375,0.5440554618835449,0.18510575592517853,0.24214382002828644,0.7034890328446415,0.4990325701386649,0.5838796396736311,0.5841677784919739,0.25048828125,0.41230933191234265,6190,2609,6214,0.7409441471099854,5.747224036577401,0.0659699542782495,0.14500326583932072,0.25,2180,181,0.08302752293577982,3009,1478,0.49119308740445333,5721,3448,0.6026918370914176,1494,1083,0.7248995983935743,40.403726270082615,0.3569369316101074,2048.0,521.8477827000024,0
23,0.0008750555348152299,1.4674819654458529,0.25279367124879515,0.6409531985010419,0.28686754722873886,459.0694805194805,0.9866738144646992,1.6097750539580982,0.3048890146892518,0.6452855148042241,0.3298002628919979,522.859375,0.536750316619873,0.17958933115005493,0.23782709526349208,0.6921176734785538,0.49693647210577235,0.5785077428437353,0.5790217518806458,0.251220703125,0.40697213785818037,6164,2742,6240,0.7426781058311462,5.817112998040496,0.049640757674722404,0.12540822991508818,0.25,2180,131,0.06009174311926606,3009,1379,0.4582917912927883,5721,3506,0.612829924838315,1494,1148,0.7684069611780455,40.75990187512211,0.3569507598876953,2048.0,513.7573874999944,0
24,0.0008644843137107058,1.4555490092023626,0.2486062565697478,0.6402486069635911,0.2833470738263099,459.0642857142857,0.9809399331544901,1.6098779030144215,0.30772372513699037,0.6441872998451194,0.32898343649382394,522.859375,0.5378634333610535,0.171036496758461,0.23469779761653625,0.6819087688219664,0.49653337633021605,0.5746407911923865,0.5761081576347351,0.2412109375,0.4031550697126399,6159,2873,6245,0.7390544414520264,5.899412148922273,0.056172436316133244,0.13324624428478118,0.25,2180,149,0.06834862385321101,3009,1386,0.46061814556331004,5721,3495,0.610907184058731,1494,1129,0.7556894243641231,40.767310608185696,0.35759401321411133,2048.0,514.5518002999888,0
