[2026-08-13T19:04:29] attempt=1 mode=fresh experiment=r2_home_fpn48_lr0750_seed2_100e
========================================================================
FULL TRAINING
========================================================================
device              : cuda
torch_version       : 2.3.1
cuda_build          : 12.1
cuda_available      : True
gpu_name            : NVIDIA GeForce MX570 A
gpu_vram_gib        : 4.0
compute_capability  : 8.6
train_images        : 12322
valid_images        : 1531
batch_size          : 8
amp_enabled         : True
start_epoch         : 1
epoch   1/100 | train 2.4314 | valid 2.1459 | mAP 0.0105 | best 0.0105 | 1362.3s
epoch   2/100 | train 1.9827 | valid 1.9838 | mAP 0.0513 | best 0.0513 | 1318.6s
epoch   3/100 | train 1.8673 | valid 1.8898 | mAP 0.0740 | best 0.0740 | 1282.2s
epoch   4/100 | train 1.8017 | valid 1.8067 | mAP 0.1182 | best 0.1182 | 981.2s
epoch   5/100 | train 1.7514 | valid 1.7843 | mAP 0.1358 | best 0.1358 | 854.5s
epoch   6/100 | train 1.7116 | valid 1.7527 | mAP 0.1320 | best 0.1358 | 830.0s
epoch   7/100 | train 1.6854 | valid 1.7469 | mAP 0.1439 | best 0.1439 | 844.7s
epoch   8/100 | train 1.6589 | valid 1.7258 | mAP 0.1517 | best 0.1517 | 923.9s
epoch   9/100 | train 1.6367 | valid 1.7345 | mAP 0.1519 | best 0.1519 | 914.2s
epoch  10/100 | train 1.6209 | valid 1.6842 | mAP 0.1640 | best 0.1640 | 842.0s
epoch  11/100 | train 1.6021 | valid 1.6967 | mAP 0.1586 | best 0.1640 | 841.7s
epoch  12/100 | train 1.5898 | valid 1.6610 | mAP 0.1763 | best 0.1763 | 848.4s
epoch  13/100 | train 1.5755 | valid 1.6479 | mAP 0.1937 | best 0.1937 | 717.7s
epoch  14/100 | train 1.5619 | valid 1.6495 | mAP 0.1877 | best 0.1937 | 984.9s
epoch  15/100 | train 1.5515 | valid 1.6483 | mAP 0.1891 | best 0.1937 | 993.0s
epoch  16/100 | train 1.5427 | valid 1.6453 | mAP 0.1911 | best 0.1937 | 969.3s
epoch  17/100 | train 1.5326 | valid 1.6509 | mAP 0.1866 | best 0.1937 | 966.3s
epoch  18/100 | train 1.5212 | valid 1.6481 | mAP 0.1831 | best 0.1937 | 957.6s
epoch  19/100 | train 1.5132 | valid 1.6403 | mAP 0.1954 | best 0.1954 | 990.5s
epoch  20/100 | train 1.5056 | valid 1.6402 | mAP 0.1965 | best 0.1965 | 965.3s
epoch  21/100 | train 1.4979 | valid 1.6242 | mAP 0.2034 | best 0.2034 | 964.8s
epoch  22/100 | train 1.4917 | valid 1.6252 | mAP 0.2020 | best 0.2034 | 958.3s
epoch  23/100 | train 1.4845 | valid 1.6166 | mAP 0.2097 | best 0.2097 | 968.6s
epoch  24/100 | train 1.4773 | valid 1.6172 | mAP 0.2050 | best 0.2097 | 958.2s
epoch  25/100 | train 1.4708 | valid 1.6291 | mAP 0.1993 | best 0.2097 | 958.0s
epoch  26/100 | train 1.4654 | valid 1.6187 | mAP 0.2173 | best 0.2173 | 974.3s
epoch  27/100 | train 1.4579 | valid 1.6099 | mAP 0.2168 | best 0.2173 | 963.7s
epoch  28/100 | train 1.4547 | valid 1.6142 | mAP 0.2115 | best 0.2173 | 963.4s
epoch  29/100 | train 1.4494 | valid 1.6168 | mAP 0.2084 | best 0.2173 | 968.6s
epoch  30/100 | train 1.4437 | valid 1.6150 | mAP 0.2144 | best 0.2173 | 968.1s
epoch  31/100 | train 1.4401 | valid 1.6173 | mAP 0.2131 | best 0.2173 | 958.9s
epoch  32/100 | train 1.4339 | valid 1.6494 | mAP 0.1928 | best 0.2173 | 957.3s
epoch  33/100 | train 1.4289 | valid 1.6147 | mAP 0.2176 | best 0.2176 | 952.0s
epoch  34/100 | train 1.4256 | valid 1.6123 | mAP 0.2214 | best 0.2214 | 953.0s
epoch  35/100 | train 1.4202 | valid 1.6094 | mAP 0.2219 | best 0.2219 | 951.1s
