epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count,result,experiment
1,0.0009997532801828,2.3769741398173494,0.499333072676287,0.7923248824748126,0.5426580926234071,458.9759740259741,4.593221729529368,2.274154902125398,0.6179543011821806,0.6908968621864915,0.4826518694559733,522.859375,0.040516197681427,0.000224323652219,0.0073378706686412,0.102562744890395,0.1561593034504998,0.1238095238095238,0.1239210739731788,0.25048828125,0.065989847715736,1937,16949,10467,0.5978915691375732,12.335728282168516,0.0875244937949052,0.6041802743305029,0.25,2180,2,0.0009174311926605,3009,344,0.1143236955799268,5721,1402,0.2450620520887956,1494,189,0.1265060240963855,40.94986442795042,0.3569507598876953,1024.0,517.4933044000063,0,results.14,r3_school1_fpn48_exp200_seed11
2,0.0009990133642141,1.966936000755855,0.4024441738407333,0.6709847012510547,0.4467535627933292,459.12142857142857,1.6594893522463836,2.075755817815661,0.517065581244727,0.6703450360024968,0.4441725978006919,522.859375,0.1384791731834411,0.0014764496590942,0.0282207614353183,0.2117664169878554,0.2347629796839729,0.2226725291531255,0.2248269766569137,0.267822265625,0.125285032052661,2912,10839,9492,0.6166201829910278,8.981711299804049,0.0979751796211626,0.5127367733507512,0.25,2180,9,0.0041284403669724,3009,707,0.2349617813226985,5721,2052,0.3586785527005768,1494,144,0.0963855421686747,40.94011052906094,0.3589344024658203,1024.0,514.5000835999963,0,results.14,r3_school1_fpn48_exp200_seed11
3,0.0009977809823015,1.8572023295736928,0.3695324170221756,0.6640888226496708,0.4117905454589174,459.1077922077922,1.4469549048643608,1.9965954932073755,0.5132566232544681,0.6600967965399226,0.4116210381810863,522.859375,0.2494166940450668,0.0157684776932001,0.0739834910098579,0.2651107495932924,0.341583360206385,0.2985274431057563,0.3036775290966034,0.27099609375,0.1754523996852871,4237,11745,8167,0.6605678200721741,10.438928804702808,0.0920966688438928,0.3990855649902025,0.25,2180,51,0.023394495412844,3009,1257,0.4177467597208374,5721,2616,0.4572627163083377,1494,313,0.2095046854082998,40.878368397377606,0.3579573631286621,1024.0,515.1724036000087,0,results.14,r3_school1_fpn48_exp200_seed11
4,0.0009960573506572,1.7884434643503908,0.3484669274033664,0.6600755383829018,0.3899504998287597,459.0396103896104,1.3694428006936978,2.084584581976136,0.6475632319537302,0.6554920182873806,0.3907646664107839,522.859375,0.277130126953125,0.0267451163381338,0.0882578510788334,0.2117765513126491,0.4578361818768139,0.2895971443141255,0.3381692171096802,0.334716796875,0.1693151665126263,5679,21137,6725,0.6704855561256409,17.515349444807317,0.0143696930111038,0.2390594382756368,0.25,2180,102,0.046788990825688,3009,1411,0.4689265536723164,5721,3558,0.6219192448872575,1494,608,0.4069611780455154,41.06283982043118,0.3575787544250488,1024.0,511.3516862999968,0,results.14,r3_school1_fpn48_exp200_seed11
5,0.0009938441702975,1.73576570400944,0.3327044700550569,0.6568191912267115,0.3731210203526856,459.0123376623376,1.305414266400523,1.910106726611654,0.4947109652372698,0.6530442709724108,0.3811757448129356,522.859375,0.2873963117599487,0.0219753477722406,0.0909324815840591,0.3202536938946194,0.3704450177362141,0.3435257177033493,0.3487278521060943,0.2685546875,0.2073836710746039,4595,9753,7809,0.6764033436775208,9.371652514696278,0.0542129327237099,0.3592423252775963,0.25,2180,72,0.0330275229357798,3009,1209,0.4017946161515454,5721,3035,0.5305016605488551,1494,279,0.1867469879518072,41.0325268000142,0.3589344024658203,1024.0,509.4362412000046,0,results.14,r3_school1_fpn48_exp200_seed11
6,0.0009911436253643,1.6939655351948428,0.3196875303403124,0.6543694680387323,0.3599542688626748,459.087012987013,1.2621674176934476,2.006002309421698,0.6190828213778635,0.6519881303732594,0.3674656787576775,522.859375,0.3331646621227264,0.0700578317046165,0.1264574607062968,0.2413844996237772,0.5172524991938084,0.3291606813051508,0.3874750137329101,0.34423828125,0.1970031933185949,6416,20164,5988,0.6954819560050964,17.36120182887002,0.0209013716525146,0.1802743305029392,0.25,2180,114,0.0522935779816513,3009,1614,0.5363908275174477,5721,3861,0.67488201363398,1494,827,0.5535475234270415,40.92550643431826,0.3576440811157226,1024.0,513.815765899999,0,results.14,r3_school1_fpn48_exp200_seed11
7,0.0009879583809693,1.66405255237183,0.3109770215176917,0.6525261317367678,0.350274698900712,459.038961038961,1.2164332298876404,1.883963896582524,0.5105410146837434,0.649258702682952,0.3620820888318121,522.859375,0.3874424397945404,0.0607511587440967,0.1409916789385533,0.3301847406325018,0.5100773943889068,0.4008743584869796,0.4393343031406402,0.305419921875,0.2506834660644241,6327,12835,6077,0.6959026455879211,12.516002612671455,0.0150228608752449,0.1567602873938602,0.25,2180,176,0.0807339449541284,3009,1624,0.5397141907610502,5721,3616,0.6320573326341549,1494,911,0.6097724230254351,40.915617769994114,0.3577895164489746,1024.0,525.8741695000062,0,results.14,r3_school1_fpn48_exp200_seed11
8,0.0009842915805643,1.6400805121118371,0.3041952988253785,0.6509579877574723,0.3424636137466152,459.0506493506493,1.206668714617754,1.910598471139868,0.5525054194343587,0.64830392661194,0.3548945610721906,522.859375,0.388767272233963,0.0702269747853279,0.1453068307746434,0.3060624166934779,0.5368429538858432,0.3898597816223178,0.4476481974124908,0.322265625,0.2421278452476183,6659,15098,5745,0.6989363431930542,14.21097322011757,0.0052253429131286,0.1227955584585238,0.25,2180,155,0.0711009174311926,3009,1583,0.5260884014622799,5721,3904,0.6823981821359902,1494,1017,0.6807228915662651,40.87820085999692,0.3589344024658203,1024.0,519.2482159999927,0,results.14,r3_school1_fpn48_exp200_seed11
9,0.0009801468428384,1.6186078128102537,0.2964947554778743,0.6499309017286672,0.3360910791371549,459.0831168831169,1.1547465805496488,1.8002840764820576,0.4475140703531603,0.648202977453669,0.3522835174420227,522.859375,0.4487533569335937,0.0981721580028534,0.1745126645764685,0.3695152642521063,0.5445017736214125,0.4402581318036634,0.4956948757171631,0.324951171875,0.28226345703778,6754,11524,5650,0.7051788568496704,11.938602220770738,0.0111038536903984,0.1267145656433703,0.25,2180,198,0.0908256880733945,3009,1684,0.5596543702226653,5721,3806,0.6652683097360601,1494,1066,0.713520749665328,40.50474613672434,0.3580765724182129,1024.0,515.911067699999,0,results.14,r3_school1_fpn48_exp200_seed11
10,0.0009755282581475,1.5991184942134016,0.2910432907280983,0.6487932670813102,0.3296409679891227,458.9902597402597,1.12992016197025,1.7974717648078995,0.4582242267206311,0.6472397344186902,0.3460039009029667,522.859375,0.4330592751502991,0.0796200335025787,0.1644185865579857,0.3736010153455636,0.5220896485004837,0.4355370233371443,0.4761191010475158,0.2978515625,0.2783939472100421,6476,10858,5928,0.7034587860107422,11.322011757021556,0.0404964075767472,0.1685173089483997,0.25,2180,132,0.0605504587155963,3009,1593,0.5294117647058824,5721,3822,0.6680650235972732,1494,929,0.6218206157965194,40.353002815733134,0.3589344024658203,1024.0,523.608653599993,0,results.14,r3_school1_fpn48_exp200_seed11
