epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count
1,0.0009997532801828,2.376538645292257,0.5162986176935109,0.7877151489257812,0.5362624388817069,490.3850649350649,3.8515171361434,2.1527228193978467,0.5161262938442329,0.676471242060264,0.4800626426003873,557.5364583333334,0.1079770997166633,0.0023036748170852,0.0268064007056693,0.2464682485255794,0.1448726217349242,0.1824828636709824,0.1871446222066879,0.2354736328125,0.1004022795843111,1797,5494,10607,0.6361269950866699,4.762246897452646,0.3291966035271064,0.7335075114304376,0.25,1751,0,0.0,2244,214,0.0953654188948306,6085,1382,0.2271158586688578,2324,201,0.0864888123924268,12.89871704262405,0.5113544464111328,1024.0,1391.457066599978,0
2,0.0009990133642141,1.9641072613852364,0.4176780062255921,0.6687861473916413,0.4388215546484117,490.4987012987013,1.578644164119448,1.9861118532717228,0.4482082778898378,0.666496342048049,0.4357036153475443,557.5364583333334,0.1909070312976837,0.0063874502666294,0.0502378615931718,0.3624342838935797,0.1834085778781038,0.2435629784272791,0.2583818137645721,0.2032470703125,0.1386687797147385,2275,4002,10129,0.6486697196960449,4.0999346832135855,0.4415414761593729,0.7008491182233834,0.25,1751,5,0.0028555111364934,2244,375,0.1671122994652406,6085,1776,0.2918652423993426,2324,119,0.0512048192771084,15.05059931852884,0.5133023262023926,1024.0,1215.2635925000068,0
3,0.0009977809823015,1.8475924554583316,0.3809532509124898,0.6613687658464754,0.4026352205253267,490.5012987012987,1.4126366576204052,1.8526400743673248,0.3898427439077447,0.6560628737012545,0.4033672311343252,557.5364583333334,0.2877876460552215,0.0484969243407249,0.101123153682056,0.6460793218286406,0.1720412770074169,0.2717259820462214,0.3455259501934051,0.1861572265625,0.1572239003904811,2134,1169,10270,0.7065397500991821,2.157413455258001,0.6688438928804703,0.7550620509470934,0.25,1751,13,0.0074243289548829,2244,442,0.1969696969696969,6085,1598,0.2626129827444535,2324,81,0.0348537005163511,16.00668319995153,0.5133023262023926,1024.0,1157.675531100016,0
4,0.0009960573506572,1.7778708927043072,0.3591239589568856,0.6574478394025332,0.3806495475111069,490.4961038961039,1.341512557980302,1.814563560610016,0.3747665329525868,0.6558808734019598,0.3919580751098692,557.5364583333334,0.3406718373298645,0.0585491247475147,0.1211832648674317,0.6348373557187827,0.2438729442115446,0.3523792882520822,0.4006858468055725,0.2005615234375,0.2138716063348416,3025,1740,9379,0.7015776634216309,3.1123448726322667,0.4323971260613978,0.5689092096668844,0.25,1751,21,0.0119931467732724,2244,464,0.2067736185383244,6085,2136,0.3510271158586688,2324,404,0.1738382099827883,16.311964894121477,0.5122146606445312,1024.0,1126.5935270999908,0
5,0.0009938441702975,1.7227312241281785,0.3419747671426891,0.6541555579606588,0.3633004488689559,490.4090909090909,1.2865983276785191,1.7776047351459665,0.3780398037439833,0.6505765759696563,0.3744941751162211,557.5364583333334,0.3798634707927704,0.0662744119763374,0.1394771256716921,0.888663967611336,0.106175427281522,0.189687454990638,0.4382063150405884,0.15087890625,0.1047816055374333,1317,165,11087,0.739951491355896,0.9679947746570868,0.7341606792945787,0.768125408229915,0.25,1751,2,0.0011422044545973,2244,113,0.0503565062388591,6085,1101,0.180936729663106,2324,101,0.043459552495697,16.211484509042826,0.5133023262023926,1024.0,1131.2039484000416,0
6,0.0009911436253643,1.679086777142116,0.3286253365313077,0.6514744551924916,0.3494934924043618,490.52272727272725,1.236201091942849,1.7233451288193464,0.3547364705397437,0.6491963615020117,0.3597061520752807,557.5364583333334,0.41900435090065,0.108960747718811,0.1700425926443131,0.8092751842751843,0.2124314737181554,0.3365261813537675,0.4714483916759491,0.1812744140625,0.2023032629558541,2635,621,9769,0.7475695610046387,2.12671456564337,0.434356629653821,0.5088177661659047,0.25,1751,7,0.0039977155910908,2244,290,0.1292335115864527,6085,1816,0.2984387838948233,2324,522,0.2246127366609294,16.199133522598903,0.5133023262023926,1024.0,1129.6331726000062,0
7,0.0009879583809693,1.649537560924307,0.3195494765488358,0.649818390375608,0.3400848477595038,490.4525974025974,1.2061928735537963,1.688768555720647,0.3410061969577024,0.6469978575284282,0.3503822485605876,557.5364583333334,0.4540946781635284,0.1278738975524902,0.1890691863605752,0.8444444444444444,0.2297645920670751,0.3612396222827809,0.5016911625862122,0.1759033203125,0.2204346817232577,2850,525,9554,0.7535377144813538,2.20444154147616,0.4160679294578707,0.4911822338340953,0.25,1751,20,0.0114220445459737,2244,421,0.1876114081996435,6085,1758,0.2889071487263763,2324,651,0.2801204819277108,16.416509406278653,0.512479305267334,1024.0,1124.5407700000214,0
8,0.0009842915805643,1.6244441116010988,0.3120598688624896,0.6482673857506219,0.3320584289052269,490.4961038961039,1.1841418906465753,1.6977444322158892,0.3481512408082683,0.6473294282332063,0.351131880035003,557.5364583333334,0.4389277100563049,0.1214915663003921,0.1810356323891028,0.8032266596138588,0.2448403740728797,0.3752857584182886,0.493143081665039,0.178955078125,0.230985701247338,3037,744,9367,0.7509075999259949,2.46962769431744,0.2873938602220771,0.3886348791639451,0.25,1751,14,0.0079954311821816,2244,250,0.1114081996434937,6085,1868,0.3069843878389482,2324,905,0.3894148020654044,16.373567246856382,0.5133023262023926,1024.0,1107.9628424000111,0
9,0.0009801468428384,1.6030745031771725,0.3045955521526274,0.6472022902655911,0.3256383297505317,490.5051948051948,1.1562215708292924,1.673214438681801,0.3404845946934074,0.6464241420229276,0.3431528485380113,557.5364583333334,0.4673173725605011,0.1256333589553833,0.1938714972173329,0.8256613756613757,0.2516123831022251,0.3856895699456253,0.514640212059021,0.1773681640625,0.2389190844369593,3121,659,9283,0.7513218522071838,2.4689745264532985,0.3200522534291313,0.4069235793598955,0.25,1751,12,0.0068532267275842,2244,308,0.1372549019607843,6085,1842,0.3027115858668858,2324,959,0.4126506024096386,15.86781355035188,0.5133023262023926,1024.0,1147.2653826999594,0
10,0.0009755282581475,1.5832981214120792,0.2988438093139753,0.6460473561441743,0.319203479007467,490.43831168831167,1.1411135908845182,1.6832108162343502,0.3556940708464632,0.646106654467682,0.340705045654128,557.5364583333334,0.4602650701999664,0.1340802013874054,0.1934751161024905,0.864156515319306,0.1887294421154466,0.3097995103553232,0.5126676559448242,0.1632080078125,0.1832915753210147,2341,368,10063,0.7679446935653687,1.7694317439581972,0.442194644023514,0.5075114304376225,0.25,1751,1,0.0005711022272986,2244,146,0.0650623885918003,6085,1516,0.2491372226787181,2324,678,0.2917383820998279,16.548538232974998,0.5133023262023926,1024.0,1106.2709527999978,0
