epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count
1,0.0009972609476841367,2.3185234647102644,0.4949735120569844,0.7649670425766065,0.5292914555075373,396.2627578718784,3.6831835424861223,2.1340924594551325,0.5186609619607528,0.6771231523404518,0.4691541704038779,522.859375,0.10555146634578705,0.0020829045679420233,0.023713650234276427,0.19974309569685292,0.1755079006772009,0.18684289576449387,0.18973658978939056,0.2373046875,0.10304837640821736,2177,8722,10227,0.6286048889160156,7.118876551273678,0.124101894186806,0.5597648595689092,0.25,2180,0,0.0,3009,401,0.13326686606846128,5721,1526,0.266736584513197,1494,250,0.16733601070950468,18.483472776616818,0.35880279541015625,1024.0,1233.225462900009,0
2,0.0009890738003669028,1.9474947612396927,0.40327381848253463,0.669450737236636,0.4373851039089934,396.3327904451683,1.634064356356568,2.005936707059542,0.41836702652896446,0.6743651389454802,0.45660227568199235,522.859375,0.19672350585460663,0.009842065162956715,0.05429404438159509,0.6075129533678757,0.113431151241535,0.19116847826086958,0.269477903842926,0.160400390625,0.1056861714114024,1407,909,10997,0.666292667388916,1.512736773350751,0.6714565643370346,0.7844546048334422,0.25,2180,20,0.009174311926605505,3009,424,0.1409106015287471,5721,924,0.16151022548505506,1494,39,0.02610441767068273,18.44294897323301,0.35784435272216797,1024.0,1166.9032431999804,0
3,0.0009755282581475768,1.8422674267480996,0.3687456888707919,0.6629365768999541,0.40529258007205915,396.26655808903365,1.502199407800401,1.8645078067978222,0.4155517464193205,0.6580172656103969,0.39546939823776484,522.859375,0.30181077122688293,0.044863857328891754,0.10204641846285085,0.4360860970788491,0.3201386649467914,0.3692236169223617,0.37211620807647705,0.2454833984375,0.22640971549119107,3971,5135,8433,0.690316915512085,5.947746570868714,0.10907903331156107,0.33376877857609405,0.25,2180,57,0.02614678899082569,3009,1046,0.3476237952808242,5721,2361,0.41269008914525435,1494,507,0.3393574297188755,20.49322142216303,0.3584933280944824,1024.0,1093.5365732999635,0
4,0.0009567727288213003,1.7765702748272758,0.3464908544034834,0.6591407247979788,0.38546934879175615,396.2947882736156,1.3987273125384452,1.7917450952033203,0.36428339034318924,0.6547753723959128,0.3863431665425499,522.859375,0.3437102735042572,0.029552586376667023,0.1077890183614727,0.552013422818792,0.3182844243792325,0.40376355082839027,0.41323989629745483,0.2193603515625,0.2529472065607381,3948,3204,8456,0.6827583312988281,4.671456564337035,0.16721097322011758,0.356629653821032,0.25,2180,50,0.022935779816513763,3009,1005,0.3339980059820538,5721,2297,0.40150323370040203,1494,596,0.3989290495314592,20.57756909246554,0.3580045700073242,1024.0,1080.1096611000248,0
5,0.0009330127018922195,1.7270473219154971,0.33185411543139415,0.6559011197439623,0.3696460446239683,396.30890336590664,1.3497576595452916,1.753307847927014,0.3558778849740823,0.652361634808282,0.37253416717673343,522.859375,0.38283854722976685,0.07818394899368286,0.14481304690416436,0.6008643524327338,0.3474685585295066,0.44031261173826425,0.45353227853775024,0.22705078125,0.2823082465448353,4310,2863,8094,0.7143939137458801,4.685173089483998,0.07642064010450686,0.2318745917700849,0.25,2180,49,0.022477064220183487,3009,860,0.2858092389498172,5721,2555,0.44660024471246285,1494,846,0.5662650602409639,22.426961249234793,0.35826683044433594,1024.0,989.7208880999824,0
6,0.0009045084971874739,1.690140315362866,0.32141934566596175,0.6536112619921904,0.3575548533184391,396.32627578718785,1.3090244529366364,1.706041547159354,0.34148452811253566,0.6504308981820941,0.3570630590741833,522.859375,0.41509443521499634,0.0939108282327652,0.16223729776320397,0.6622557316510232,0.3469848435988391,0.4553774533142887,0.47414860129356384,0.2098388671875,0.2948147133365299,4304,2195,8100,0.7260857820510864,4.244937949052907,0.14500326583932072,0.27433050293925537,0.25,2180,69,0.03165137614678899,3009,1029,0.3419740777666999,5721,2472,0.43209229155742,1494,734,0.49129852744310576,23.450344189527115,0.35958290100097656,1024.0,981.7241886999691,0
7,0.0008715724127386972,1.6624975035555587,0.3129219341371916,0.6522123841134008,0.3486815931257285,396.2323561346363,1.2769458264792004,1.683642973502477,0.33501054424171645,0.648759282194078,0.3499365729900698,522.859375,0.43199947476387024,0.10279925167560577,0.17197782401926814,0.7082264409098683,0.3338439213157046,0.45378335433674866,0.49020883440971375,0.2061767578125,0.2934798015591779,4141,1706,8263,0.733780026435852,3.8190725016329194,0.1286740692357936,0.22991508817766165,0.25,2180,20,0.009174311926605505,3009,680,0.22598870056497175,5721,2573,0.44974654780632756,1494,868,0.5809906291834003,23.456982769497127,0.35798215866088867,1024.0,973.5904231999884,0
8,0.0008345653031794292,1.6368774812462275,0.3047491392114652,0.650712162709262,0.3407080896546605,396.11889250814335,1.2465428434935248,1.6684521865099669,0.32967347162775695,0.6475937440991402,0.3455924875258158,522.859375,0.4528486132621765,0.1261657178401947,0.18925489656248828,0.8020597839738759,0.2574169622702354,0.3897467195605737,0.5064337253570557,0.1812744140625,0.2420406306852638,3193,788,9211,0.7570446133613586,2.6002612671456564,0.2566949706074461,0.348791639451339,0.25,2180,8,0.003669724770642202,3009,536,0.17813226985709538,5721,2034,0.3555322496067121,1494,615,0.41164658634538154,23.451149646311627,0.3582420349121094,1024.0,981.1020680000074,0
9,0.0007938926261462366,1.6150053308530428,0.297899034339429,0.649433278688002,0.333836507031959,396.3159609120521,1.2384620518883716,1.6708851506312687,0.332236632782345,0.6474890519554416,0.3455797325198849,522.859375,0.4416793882846832,0.11687177419662476,0.18219758674968034,0.7641448081508779,0.2841825217671719,0.41429159076217903,0.4987189471721649,0.179443359375,0.26126593536910764,3525,1088,8879,0.750105082988739,3.013063357282822,0.16917047681254083,0.2736773350751143,0.25,2180,8,0.003669724770642202,3009,533,0.17713526088401463,5721,2182,0.38140185282293304,1494,802,0.536813922356091,23.388822963218,0.3584914207458496,1024.0,983.0160157000064,0
10,0.00075,1.5983032582248848,0.29295059011179253,0.6483546099691256,0.3284990285057069,396.3371335504886,1.218857544738229,1.6639415820439656,0.32666546393496293,0.6485487287864089,0.34436369423444074,522.859375,0.43547600507736206,0.11075417697429657,0.17572796446766006,0.7614987659860893,0.2736214124475975,0.4025858490006523,0.4965958893299103,0.18115234375,0.2520234647657236,3394,1063,9010,0.7460358142852783,2.9111691704768123,0.17112998040496408,0.25538863487916397,0.25,2180,5,0.0022935779816513763,3009,387,0.12861415752741776,5721,2188,0.38245062052088796,1494,814,0.5448460508701473,23.231190843713055,0.3582782745361328,1024.0,978.9622829,0
