epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count
1,0.0009997532801828658,2.767588919168943,0.500522431731224,0.7894129522048033,0.5414735284525078,458.97597402597404,4.928638026853661,2.522118895004193,0.515772464685142,0.6911777872592211,0.4847898748703301,522.859375,0.06481041759252548,0.0005431179888546467,0.012529882102217015,0.15240945206892995,0.1190744920993228,0.13369540620049788,0.1380303055047989,0.21337890625,0.07163643418372297,1477,8214,10927,0.6063641309738159,6.329849771391247,0.35336381450032656,0.8079686479425212,0.25,2180,3,0.0013761467889908258,3009,455,0.15121302758391492,5721,989,0.17287187554623318,1494,30,0.020080321285140562,13.301385990624155,0.3569507598876953,1024.0,1390.9641571000102,0
2,0.0009990133642141358,2.3069310136429677,0.40423183715962746,0.6705058744201412,0.4484701833361155,459.12142857142857,1.7298467262224717,2.3648738463719687,0.4408532852927844,0.6818082435056567,0.45065410031626624,522.859375,0.1379883587360382,0.0016157792415469885,0.027889188824974553,0.24673532222104258,0.1873589164785553,0.21298629885900197,0.22842586040496826,0.2159423828125,0.11918559926150059,2324,7095,10080,0.6158209443092346,6.152188112344873,0.33050293925538865,0.6551273677335075,0.25,2180,26,0.011926605504587157,3009,627,0.20837487537387836,5721,1555,0.2718056283866457,1494,116,0.07764390896921017,12.913501554371253,0.3589344024658203,1024.0,1330.9812765999814,0
3,0.00099778098230154,2.1956963381209933,0.37214225987335303,0.663821706524143,0.4139107606434203,459.1077922077922,1.5270959107906787,2.226886792729298,0.3936244500800967,0.6655447107429305,0.41747263446450233,522.859375,0.23523782193660736,0.005850194487720728,0.059516879987381796,0.3901672324908839,0.2501612383102225,0.304858279707226,0.31950369477272034,0.2154541015625,0.17984235539585025,3103,4850,9301,0.6477692127227783,5.194644023514043,0.3154800783801437,0.5290659699542782,0.25,2180,43,0.019724770642201836,3009,1000,0.33233632436025257,5721,1761,0.307813319349764,1494,299,0.2001338688085676,18.20428082888345,0.3579573631286621,1024.0,1049.1626041000127,0
4,0.000996057350657239,2.1235045392791947,0.3501238397770114,0.6596073333319131,0.39198485111648385,459.0396103896104,1.4392382130220338,2.2398590178539357,0.4389143129810691,0.6661843083178004,0.4008341192578276,522.859375,0.28271448612213135,0.017056232318282127,0.08336333469342208,0.2963746223564955,0.395436955820703,0.3388132900462803,0.3551734983921051,0.292724609375,0.2039585845565304,4905,11645,7499,0.6647987365722656,10.809928151534944,0.09144350097975179,0.3239712606139778,0.25,2180,67,0.030733944954128442,3009,1295,0.43037554004652706,5721,2955,0.5165180912427897,1494,588,0.39357429718875503,18.249014602084426,0.35757875442504883,1024.0,1043.2903099000105,0
5,0.0009938441702975688,2.0670111200252137,0.3342323414787844,0.656270122760302,0.3741867977690387,459.01233766233764,1.3963383471036885,2.110779241969188,0.3701314566036065,0.6535721297065417,0.38014479679986835,522.859375,0.3539220690727234,0.04160178080201149,0.11991092749231029,0.5502405498281787,0.3227184779103515,0.40682961532598205,0.418869286775589,0.22607421875,0.25535850982393465,4003,3272,8401,0.6951864361763,4.751796211626388,0.22730241672109733,0.40169823644676683,0.25,2180,72,0.03302752293577982,3009,1072,0.35626453971419075,5721,2435,0.4256248907533648,1494,424,0.2838018741633199,18.154563317827435,0.3589344024658203,1024.0,1059.8408897999907,0
6,0.0009911436253643444,2.022295760566538,0.3210363555844728,0.653706101628093,0.3603501265118648,459.087012987013,1.3297458795758037,2.0845673574755588,0.37182788364589214,0.6523554377878705,0.3671031668782234,522.859375,0.38180023431777954,0.07624021172523499,0.1435250302340137,0.4777111818692639,0.41123831022250884,0.4419894289922883,0.4426652491092682,0.255615234375,0.2836883376897837,5101,5577,7303,0.7086048126220703,6.974526453298497,0.10516002612671456,0.2762900065316786,0.25,2180,96,0.044036697247706424,3009,1327,0.44101030242605516,5721,2989,0.5224611081978675,1494,689,0.46117804551539493,12.78866343526623,0.35764408111572266,1024.0,1402.8142211000086,0
7,0.0009879583809693736,1.9924881778754198,0.3125716908605068,0.6520398122923715,0.3509283846365167,459.038961038961,1.3009359033076795,2.040394109363357,0.3409095900909354,0.6502771368250251,0.36203440961738426,522.859375,0.43262213468551636,0.09042037278413773,0.16406450010545087,0.5992213308164228,0.40946468881006126,0.48649425287356324,0.48804137110710144,0.2410888671875,0.3214353521928992,5079,3397,7325,0.7138709425926208,5.53625081645983,0.10711952971913782,0.22926192031352058,0.25,2180,126,0.05779816513761468,3009,1339,0.4449983383183782,5721,2763,0.48295752490823285,1494,851,0.5696117804551539,13.106824141405664,0.3577895164489746,1024.0,1389.5987871999969,0
8,0.0009842915805643154,1.965506900208337,0.30471379585660896,0.650400624414543,0.3425960836278928,459.05064935064934,1.2689377211518102,2.0334643392513194,0.3602239269918452,0.6485300067191323,0.35022270275900763,522.859375,0.42218559980392456,0.10031651705503464,0.16638897104858189,0.5108871693359727,0.4577555627217027,0.4828641891317289,0.48779600858688354,0.2646484375,0.31827354260089685,5678,5436,6726,0.7186658382415771,7.259307642064011,0.035924232527759635,0.1534944480731548,0.25,2180,132,0.060550458715596334,3009,1245,0.4137587238285145,5721,3268,0.5712288061527705,1494,1033,0.6914323962516734,13.2390184626614,0.3589344024658203,1024.0,1339.9607944000163,0
9,0.0009801468428384714,1.9421626891408648,0.2974530403103147,0.6491673557402251,0.33547930887767247,459.0831168831169,1.2414820137736085,2.0106475160767636,0.33785950765013695,0.6485801345358292,0.3499589036994924,522.859375,0.45704710483551025,0.1246747151017189,0.18948475929209962,0.5982775536901777,0.44243792325056436,0.5086898085924827,0.5100257396697998,0.251953125,0.3411026166946361,5488,3685,6916,0.7310874462127686,5.9915088177661655,0.07511430437622468,0.19203135205747876,0.25,2180,146,0.06697247706422019,3009,1314,0.43668993020937186,5721,3085,0.5392413913651459,1494,943,0.6311914323962516,15.593423580234985,0.3580765724182129,1024.0,1189.333902500046,0
10,0.0009755282581475767,1.922933498450688,0.29196825524816267,0.6481138339290371,0.32939724629962597,458.9902597402597,1.2036364231790815,1.9892533781627815,0.32944857274803024,0.6478920125712951,0.34398339642211795,522.859375,0.4552381634712219,0.10929245501756668,0.18170489935146178,0.6193698949824971,0.4279264753305385,0.5061504720129684,0.5074393153190613,0.2413330078125,0.3388229286352611,5308,3262,7096,0.7264986038208008,5.597648595689092,0.13912475506205094,0.2573481384715872,0.25,2180,120,0.05504587155963303,3009,1346,0.44732469258889995,5721,3016,0.5271805628386645,1494,826,0.5528781793842035,15.691450447679744,0.3589344024658203,1024.0,1219.2679977000225,0
