epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count
1,0.0002499845790602076,1.6423320849220473,0.30489010949219975,0.6504784678483938,0.3434817531762959,458.97597402597404,0.8245181249914231,1.6433415580540895,0.32203567392813665,0.6451752362772822,0.3380653240407507,522.859375,0.431403249502182,0.10759639739990234,0.17215179184568113,0.7801664355062413,0.2720896485004837,0.40346682606096834,0.4859413802623749,0.177490234375,0.25271433919880193,3375,951,9029,0.7462158799171448,2.8256041802743304,0.1946440235140431,0.26714565643370347,0.25,2180,8,0.003669724770642202,3009,688,0.22864739115985377,5721,1776,0.3104352385946513,1494,903,0.6044176706827309,39.37245383989591,0.3569507598876953,1024.0,540.7896379000158,0
2,0.00024993832004571644,1.5831103709611025,0.28294120833471226,0.6475033271235305,0.32633291877709425,459.12142857142857,0.7559073920567314,1.6264473665505648,0.3173001657705754,0.644352567071716,0.3323973151855171,522.859375,0.46144112944602966,0.12954235076904297,0.19364718049473595,0.8082901554404145,0.2892615285391809,0.42605236596805796,0.5099155306816101,0.177001953125,0.27069030554507734,3588,851,8816,0.7551007270812988,2.899412148922273,0.1619856303069889,0.23056825604180275,0.25,2180,6,0.0027522935779816515,3009,674,0.22399468261881023,5721,1952,0.3411990910679951,1494,956,0.6398929049531459,39.75103102761024,0.3589344024658203,1024.0,535.8065928000142,0
3,0.0002498612343702463,1.5600604641747164,0.2767926407034521,0.6461971727284518,0.3185353252020749,459.1077922077922,0.7564947945537506,1.6137290839105844,0.3122696492355317,0.6440374810869495,0.328710977298518,522.859375,0.47390124201774597,0.13651785254478455,0.20184846195334102,0.7982598138405503,0.31804256691389876,0.45485991006572124,0.5210986733436584,0.1854248046875,0.29438101634206404,3945,997,8459,0.7541458606719971,3.2279555845852386,0.13585891574134554,0.20052253429131286,0.25,2180,18,0.008256880733944955,3009,783,0.26021934197407776,5721,2127,0.3717881489250131,1494,1017,0.6807228915662651,40.02657600928765,0.3579573631286621,1024.0,526.0484892000095,0
4,0.00024975334105353396,1.5437202643264423,0.2712340136046533,0.6455762469149255,0.3134550013422192,459.0396103896104,0.7539632764342543,1.613647800559799,0.31079095338160795,0.6439155560607711,0.32947064423933625,522.859375,0.48420846462249756,0.14207735657691956,0.20723944782221224,0.8058622766512749,0.3236052886165753,0.46177739430543574,0.531258761882782,0.186279296875,0.300201929549024,4014,967,8390,0.755608320236206,3.2534291312867407,0.12736773350751143,0.18484650555192683,0.25,2180,12,0.005504587155963303,3009,741,0.24626121635094717,5721,2235,0.39066596748820137,1494,1026,0.6867469879518072,39.869100586019826,0.35757875442504883,1024.0,522.3220780999982,0
5,0.000249614666716641,1.5287168509774394,0.2673968168241637,0.6447690173403009,0.3082755080871768,459.01233766233764,0.763805147579738,1.6065227519720793,0.31126232670309645,0.643766506575048,0.32574696093797684,522.859375,0.4935055673122406,0.1545642614364624,0.21523602758534252,0.8133386741438013,0.3273943889068043,0.4668621026613784,0.5359933972358704,0.1802978515625,0.3045140971805639,4061,932,8343,0.7600182890892029,3.2612671456564337,0.12606139777922926,0.178314826910516,0.25,2180,14,0.006422018348623854,3009,740,0.24592888002658692,5721,2283,0.3990561090718406,1494,1024,0.6854082998661312,39.72000441166129,0.3589344024658203,1024.0,529.2033140000422,0
6,0.000249445245575385,1.5177931968267862,0.26439186149796884,0.6441042234758279,0.30464855593133283,459.087012987013,0.767278032101594,1.6030807178467512,0.3100895145131896,0.6431371759002408,0.32492701647182304,522.859375,0.49906954169273376,0.1637585461139679,0.2217058667447418,0.8181818181818182,0.33158658497258947,0.47191784751305144,0.5414513945579529,0.182861328125,0.30883015467787955,4113,914,8291,0.7615450620651245,3.2834748530372306,0.11887655127367734,0.17243631613324625,0.25,2180,7,0.003211009174311927,3009,742,0.24659355267530741,5721,2331,0.4074462506554798,1494,1033,0.6914323962516734,39.89937009722873,0.35764408111572266,1024.0,532.4188129000249,0
7,0.00024924511943189747,1.5082509484383968,0.2614025520039843,0.6435827180549696,0.3016328382221135,459.038961038961,0.775269976645321,1.6037865995119016,0.31054432907452184,0.6439311386396488,0.3246555676839004,522.859375,0.4984310269355774,0.16231685876846313,0.22079168972559274,0.8125978090766823,0.3348919703321509,0.4743092030143869,0.5424723625183105,0.1851806640625,0.310881604550217,4154,958,8250,0.7624105215072632,3.3389941214892227,0.11822338340953625,0.178314826910516,0.25,2180,11,0.005045871559633028,3009,736,0.2445995347291459,5721,2369,0.41408844607586087,1494,1038,0.6947791164658634,40.218742842263964,0.3577895164489746,1024.0,529.6433825999848,0
8,0.00024901433766430975,1.5005957144421416,0.25939047427533507,0.6431391580151273,0.2990330405436553,459.05064935064934,0.7794770417468888,1.6048938538879156,0.31134244217537344,0.6437539535885056,0.3248987333693852,522.859375,0.49667221307754517,0.16480983793735504,0.2214979610638693,0.8067985404263491,0.3386810706223799,0.47708818352166266,0.5410415530204773,0.18212890625,0.3132736763609247,4201,1006,8203,0.7630601525306702,3.4010450685826257,0.10516002612671456,0.17243631613324625,0.25,2180,6,0.0027522935779816515,3009,702,0.2333000997008973,5721,2445,0.427372836916623,1494,1048,0.7014725568942436,40.093373242850205,0.3589344024658203,1024.0,522.3307530999882,0
9,0.0002487529572145697,1.494411528574956,0.25718423504527516,0.6428379224105315,0.2971946854095954,459.0831168831169,0.7885131272596199,1.6019296788920958,0.3114380551657329,0.6433979896828532,0.3235468158187966,522.859375,0.5013294816017151,0.16839173436164856,0.2241118582955096,0.8118870145154963,0.3336826830054821,0.4729745171980345,0.5435196757316589,0.1832275390625,0.3097358377609818,4139,959,8265,0.7652907371520996,3.3298497713912476,0.11365120836054866,0.1743958197256695,0.25,2180,9,0.004128440366972477,3009,701,0.23296776337653705,5721,2385,0.4168851599370739,1494,1044,0.6987951807228916,39.97012968176196,0.3580765724182129,1024.0,530.1827660000417,0
10,0.0002484610425743922,1.4869676779616963,0.25525464013025356,0.642391671530612,0.2946606835181063,458.9902597402597,0.788197616303896,1.6056448152909677,0.3144372298071782,0.643618976076444,0.3237943056349953,522.859375,0.4963175058364868,0.16471533477306366,0.22121457674656994,0.8186464935595993,0.3227990970654628,0.4630239953743857,0.5403339862823486,0.17724609375,0.301256489353698,4004,887,8400,0.7644233107566833,3.194644023514043,0.13063357282821686,0.19333768778576094,0.25,2180,8,0.003669724770642202,3009,712,0.23662346294449985,5721,2300,0.4020276175493795,1494,984,0.6586345381526104,39.80613296786527,0.3589344024658203,1024.0,531.80922929995,0
