epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count
1,0.0009999383162408303,2.351974460289076,0.49153101422957013,0.788761123589107,0.5358411619415531,459.0525974025974,3.7312076858498835,2.0630577641228833,0.4552136540102462,0.676866321824491,0.4654888914277156,522.859375,0.11619489639997482,0.0031290072947740555,0.02945098553536809,0.4069868995633188,0.07513705256368913,0.12685449843473529,0.19504444301128387,0.171875,0.06772271472169743,932,1358,11472,0.6500872373580933,1.495754408883083,0.5904637491835402,0.8262573481384716,0.25,2180,0,0.0,3009,162,0.053838484546360914,5721,707,0.12357979374235274,1494,63,0.04216867469879518,42.58689438640338,0.3577885627746582,1024.0,497.920745099982,0
2,0.0009997532801828658,1.959869950235664,0.40276593393706656,0.6701447730327581,0.4434796214490742,459.03441558441557,1.5675416854681907,1.9347803313285112,0.4138319722842425,0.6643406928827366,0.42830383374045294,522.859375,0.1968526691198349,0.009853007271885872,0.057325287461026164,0.42202859696157285,0.15228958400515963,0.22381516587677724,0.2724476754665375,0.1741943359375,0.12600893869655128,1889,2587,10515,0.6621860265731812,2.923579359895493,0.6681907250163291,0.8190725016329197,0.25,2180,3,0.0013761467889908258,3009,749,0.2489199069458292,5721,1126,0.19681873798287014,1494,11,0.007362784471218206,42.30791947643908,0.35773324966430664,1024.0,500.39547320001293,0
3,0.0009994449374809851,1.8533723532379447,0.3695219046399965,0.6640632545793211,0.40989359623038923,459.05324675324675,1.4116728889090675,1.8554432969540358,0.3863542443141341,0.6589714220414559,0.405058813902239,522.859375,0.2700302302837372,0.03850223869085312,0.09273281861014766,0.48960233491426486,0.2163818123186069,0.30012300123001234,0.344613641500473,0.196044921875,0.17655571635311143,2684,2798,9720,0.693112313747406,3.5806662312214237,0.5558458523840627,0.6694970607446113,0.25,2180,37,0.016972477064220184,3009,999,0.3320039880358923,5721,1551,0.2711064499213424,1494,97,0.06492637215528782,42.53973485523656,0.35773754119873047,1024.0,485.00697429999127,0
4,0.0009990133642141358,1.7847011895148785,0.34824282152505665,0.6596104315349034,0.388423969180553,459.04350649350647,1.3178521213593422,1.8007406170169513,0.3711860031665613,0.656099080418547,0.3867277630294363,522.859375,0.33317768573760986,0.052680015563964844,0.11716537580505246,0.5421352642119859,0.28369880683650434,0.3724794919290818,0.3948593735694885,0.2144775390625,0.22886316337148804,3519,2972,8885,0.7002959251403809,4.239712606139778,0.3278902677988243,0.4853037230568256,0.25,2180,56,0.025688073394495414,3009,987,0.32801595214356927,5721,2123,0.37108897045970984,1494,353,0.2362784471218206,42.2747722282078,0.35793590545654297,1024.0,497.3044954999932,0
5,0.000998458666866564,1.736175733340251,0.33422986339632565,0.6564035020091317,0.3727711841851086,458.925974025974,1.2865844818678769,1.761961807186405,0.3478935769914339,0.652971318612496,0.3805484566837549,522.859375,0.3780074119567871,0.07839959859848022,0.14209870045742717,0.7204643751422718,0.25515962592712027,0.37685300946597605,0.43854254484176636,0.193359375,0.23217429577464788,3165,1228,9239,0.7161688208580017,2.869366427171783,0.31743958197256694,0.44546048334421945,0.25,2180,33,0.015137614678899083,3009,900,0.29910269192422734,5721,1746,0.3051914001048768,1494,486,0.3253012048192771,42.21123831584167,0.3570747375488281,1024.0,495.3158728000126,0
6,0.00099778098230154,1.6960529855319433,0.32178569598631424,0.6542731662849327,0.35999706110783986,459.05324675324675,1.2437298684538185,1.7255931682884693,0.3407341808391114,0.650832345088323,0.3670133232759933,522.859375,0.3986160457134247,0.09454336017370224,0.15646963693652652,0.7049639711769415,0.2839406643018381,0.4048275862068966,0.46254071593284607,0.19921875,0.25378296584522264,3522,1474,8882,0.7275394201278687,3.263226649248857,0.2873938602220771,0.41737426518615284,0.25,2180,34,0.015596330275229359,3009,908,0.30176138251910933,5721,2101,0.36724348890054187,1494,479,0.32061579651941097,41.78555237614451,0.3592853546142578,1024.0,496.17161379999015,0
7,0.0009969804777275899,1.664080960177756,0.31185386780794566,0.6522984343689757,0.34996432952292555,458.8467532467532,1.2006416077350641,1.6976843271404505,0.33176629183193046,0.6488692282388607,0.35852440415571135,522.859375,0.4350687563419342,0.11510823667049408,0.17336019750800916,0.7884796978281398,0.2692679780715898,0.4014423076923077,0.49322572350502014,0.1844482421875,0.2511278195488722,3340,896,9064,0.7430696487426758,2.766819072501633,0.2808621815806662,0.387328543435663,0.25,2180,27,0.012385321100917432,3009,665,0.22100365569956795,5721,2074,0.3625240342597448,1494,574,0.38420348058902276,41.63415352776952,0.3574833869934082,1024.0,500.1241457000142,0
8,0.000996057350657239,1.638550359320331,0.30440552241422913,0.6510317691734859,0.34155653348410286,459.05064935064934,1.1827030118796733,1.6628233809024096,0.31948648400915164,0.647721684537828,0.3478076052851975,522.859375,0.4575093388557434,0.12683774530887604,0.18934917204314844,0.7716746411483254,0.32505643340857787,0.4574281014237903,0.5106601715087891,0.199462890625,0.2965360005883651,4032,1193,8372,0.7422704696655273,3.4128020901371654,0.16851730894839975,0.2775963422599608,0.25,2180,38,0.01743119266055046,3009,819,0.27218344965104685,5721,2392,0.41810872225135465,1494,783,0.5240963855421686,41.782663800540895,0.3579521179199219,1024.0,500.48314070000197,0
9,0.0009950118288582787,1.6157035621729765,0.2969579797963817,0.6496157830798781,0.33456489965319636,458.9974025974026,1.143767688529832,1.6649666478236516,0.3270484908328702,0.6478609936311841,0.3450285792350769,522.859375,0.44516152143478394,0.12397069483995438,0.18738480461761356,0.6501875669882101,0.3912447597549178,0.4885242601167707,0.4963228404521942,0.2340087890625,0.3232101232101232,4853,2611,7551,0.7372822165489197,4.875244937949053,0.08425865447419988,0.1946440235140431,0.25,2180,31,0.014220183486238533,3009,945,0.3140578265204387,5721,2951,0.5158189127774865,1494,926,0.6198125836680054,41.49874835958908,0.3578929901123047,1024.0,501.3005591999972,0
10,0.0009938441702975688,1.5985854685306549,0.29293918458672313,0.6486056911867935,0.328520297094599,459.0779220779221,1.1352059666212504,1.6634757444262505,0.3306618506709735,0.646860777400434,0.342976558720693,522.859375,0.4687477648258209,0.15063253045082092,0.2065948614384979,0.8755935422602089,0.22299258303772976,0.3554584591659705,0.5156331062316895,0.169921875,0.21614440884582323,2766,393,9638,0.7732748985290527,2.063357282821685,0.40496407576747223,0.46701502286087526,0.25,2180,14,0.006422018348623854,3009,577,0.19175805915586575,5721,1793,0.3134067470721902,1494,382,0.2556894243641232,41.594208188317815,0.35771703720092773,1024.0,499.41213329997845,0
