epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count
1,0.0009993147673772868,2.354419873829012,0.5488729195741864,0.7811752206706382,0.5121858676532647,523.537012987013,3.7611716369916866,2.2201142807801566,0.6611322009315094,0.6658802976210912,0.4465508928212027,586.71875,0.0962439551949501,0.003495269687846303,0.026640879930573645,0.21042916474388557,0.1470493389229281,0.17312072892938496,0.17603860795497894,0.268310546875,0.09476309226932668,1824,6844,10580,0.6514406800270081,5.661659046374918,0.5342913128674069,0.8471587197909863,0.25,914,0,0.0,1535,73,0.04755700325732899,5853,1731,0.29574577139928243,4102,20,0.0048756704046806435,27.33360417736467,1.1749200820922852,1024.0,725.0947022000328,0
2,0.0009972609476841365,1.9297143931512708,0.4363584933729915,0.6608412040518475,0.4162573482889634,523.7435064935065,1.6146892789509388,2.0138232354074717,0.5512308379014333,0.6530318769315878,0.4047802529918651,586.71875,0.16353671252727509,0.01639685221016407,0.05138562967331382,0.28439035283608755,0.20533698806836503,0.23848314606741572,0.240205779671669,0.261474609375,0.1353851060436932,2547,6409,9857,0.6795814633369446,5.84977139124755,0.4278249510124102,0.7615937295885042,0.25,914,9,0.009846827133479213,1535,189,0.12312703583061889,5853,2288,0.3909106441141295,4102,61,0.014870794734275963,27.488573429798162,1.2127251625061035,1024.0,701.8399023999809,0
3,0.0009938441702975688,1.8138127727942033,0.39619180643326274,0.6537771162661639,0.38192192540540326,523.7545454545455,1.4650871799363718,1.8709905731181304,0.4704879263105492,0.6494950943936905,0.37550377380102873,586.71875,0.2285863608121872,0.04422765597701073,0.08409123672645365,0.3940329218106996,0.21613995485327314,0.27915451895043736,0.28859996795654297,0.1962890625,0.16221939855993223,2681,4123,9723,0.7109246253967285,4.444154147615937,0.5238406270411495,0.7328543435662965,0.25,914,3,0.0032822757111597373,1535,205,0.13355048859934854,5853,2368,0.4045788484537844,4102,105,0.025597269624573378,28.842888667792103,1.1749200820922852,1024.0,663.2655180000002,0
4,0.0009890738003669028,1.7411305232481522,0.3717102856411562,0.6497728679474298,0.35982368394925995,523.6863636363636,1.3898279418031891,1.769452899073561,0.4061559500793616,0.6457373319814602,0.3587798058676223,586.71875,0.3376721441745758,0.07886472344398499,0.1304304014887748,0.5751814725198756,0.26830054821025473,0.365915338097856,0.3986675441265106,0.2105712890625,0.22392679316377337,3328,2458,9076,0.7202416062355042,3.7792292619203134,0.4193337687785761,0.5643370346178967,0.25,914,2,0.002188183807439825,1535,181,0.11791530944625407,5853,2559,0.4372116863147104,4102,586,0.14285714285714285,29.04325903961392,1.1749200820922852,1024.0,646.9411065000459,0
5,0.0009829629131445341,1.6874153487094037,0.35405777214796513,0.6469232257697489,0.343217175299084,523.6564935064935,1.3420795250248598,1.7424248183767002,0.40287644291917485,0.6449668596809109,0.3472907552495599,586.71875,0.37116384506225586,0.0851198136806488,0.14399845327479852,0.8022568511552929,0.12036439858110287,0.20932351910269892,0.43199577927589417,0.1529541015625,0.11689633573441904,1493,368,10911,0.7484632134437561,1.2155453951665578,0.6453298497713913,0.7001959503592423,0.25,914,0,0.0,1535,62,0.040390879478827364,5853,1162,0.1985306680334871,4102,269,0.06557776694295465,29.032683107823573,1.1749200820922852,1024.0,651.8424486999866,0
6,0.0009755282581475769,1.6467278839705826,0.3407597170828225,0.6447786162812988,0.3305947749452157,523.7097402597402,1.2838108182340473,1.685796296223998,0.378125036911418,0.641579362253348,0.3330459475206832,586.71875,0.43077290058135986,0.11846139281988144,0.18021719928947277,0.7000730193501278,0.30917445985166075,0.4289229392685382,0.47267088294029236,0.209228515625,0.27301203103865596,3835,1643,8569,0.7404115796089172,3.5780535597648595,0.33442194644023515,0.44546048334421945,0.25,914,5,0.005470459518599562,1535,169,0.11009771986970684,5853,2568,0.4387493593029216,4102,1093,0.2664553876157972,28.992271141208974,1.1749200820922852,1024.0,653.5816593999625,0
7,0.0009667902132486009,1.6155958410207327,0.3297516309208684,0.6431919859988349,0.3213261118279649,523.6753246753246,1.2370757931625689,1.6701240340868633,0.3723671924478064,0.6423142251248161,0.3277213079854846,586.71875,0.4564025402069092,0.14104773104190826,0.19740974761079996,0.7192786763338911,0.3119155111254434,0.43513467918798854,0.5055925846099854,0.19677734375,0.27806525801351156,3869,1510,8535,0.7532555460929871,3.5133899412148923,0.31286740692357934,0.40627041149575444,0.25,914,17,0.018599562363238512,1535,245,0.15960912052117263,5853,2514,0.4295233213736545,4102,1093,0.2664553876157972,28.768314608735718,1.1749200820922852,1024.0,663.1956322999904,0
8,0.0009567727288213005,1.591467741325304,0.32240020053146723,0.6420930337209206,0.31348725377352205,523.7253246753247,1.2239165128051461,1.63306040627261,0.3513856030379732,0.6401723635693392,0.3207512230922778,586.71875,0.5040926933288574,0.16011352837085724,0.22188491373090075,0.8118748669929773,0.30756207674943564,0.44612056364380515,0.5450618267059326,0.1905517578125,0.28710114388922336,3815,884,8589,0.7605535387992859,3.069235793598955,0.28151534944480733,0.3677335075114304,0.25,914,6,0.006564551422319475,1535,136,0.08859934853420195,5853,2333,0.39859900905518536,4102,1340,0.3266699171136031,28.872035113712446,1.2127251625061035,1024.0,652.3200555999647,0
9,0.0009455032620941839,1.5672810775118988,0.31341177618929317,0.6408034279361948,0.30653293707541057,523.6928571428572,1.1902758841777776,1.6314774962762992,0.3549216998120149,0.6391139312957724,0.318720932972307,586.71875,0.47386908531188965,0.16018657386302948,0.21158293974585832,0.7186524239934264,0.35254756530151565,0.4730380226080373,0.5279147028923035,0.20166015625,0.3097903088693681,4373,1712,8031,0.7586992979049683,3.974526453298498,0.27106466361855,0.3572828216851731,0.25,914,25,0.02735229759299781,1535,216,0.14071661237785016,5853,2539,0.43379463522979667,4102,1593,0.38834714773281326,28.562528456566685,1.1749200820922852,1024.0,662.8474058999564,0
10,0.0009330127018922195,1.5492827718908138,0.3075439242960571,0.6398818146098744,0.3009285173923164,523.6266233766233,1.1533953048966148,1.6139017355938752,0.34848237216162187,0.638077847349147,0.3136707628145814,586.71875,0.5166668891906738,0.1784834861755371,0.23382448956836016,0.8143970467596391,0.3201386649467914,0.45960648148148153,0.548860490322113,0.1854248046875,0.29836952438199715,3971,905,8433,0.7649939060211182,3.184846505551927,0.32919660352710645,0.3990855649902025,0.25,914,19,0.020787746170678335,1535,121,0.07882736156351791,5853,2408,0.41141295062361183,4102,1423,0.3469039492930278,28.4706077636327,1.1749200820922852,1024.0,665.5415738000302,0
