model,threshold,size_mb,mean_ms,p95_ms,ref,cand,match,miss,extra,retain_pct,mean_iou,score_mae,score_max,box_mae,box_max
results27_640_fp32,0.1,1.3276700973510742,18.923733330060106,24.40618501859717,760,760,760,0,0,100.0,0.9999999992657425,0.0,0.0,0.0,0.0
results27_640_fp32,0.15,1.3276700973510742,18.923733330060106,24.40618501859717,403,403,403,0,0,100.0,0.9999999986419577,0.0,0.0,0.0,0.0
results27_640_fp32,0.17,1.3276700973510742,18.923733330060106,24.40618501859717,338,338,338,0,0,100.0,0.9999999999791345,0.0,0.0,0.0,0.0
results27_640_fp32,0.2,1.3276700973510742,18.923733330060106,24.40618501859717,269,269,269,0,0,100.0,0.9999999992919839,0.0,0.0,0.0,0.0
results27_640_fp32,0.25,1.3276700973510742,18.923733330060106,24.40618501859717,190,190,190,0,0,100.0,0.9999999962750822,0.0,0.0,0.0,0.0
results27_640_fp32,0.3,1.3276700973510742,18.923733330060106,24.40618501859717,133,133,133,0,0,100.0,0.9999999944714814,0.0,0.0,0.0,0.0
results27_640_int8_round2_s8s8_conv_entropy,0.1,0.7577781677246094,55.956191669489876,65.12738997116683,760,783,489,271,294,64.34210526315789,0.7992999956305826,0.0039745201453721775,0.3645182251930237,3.602204442024231,161.0216827392578
results27_640_int8_round2_s8s8_conv_entropy,0.15,0.7577781677246094,55.956191669489876,65.12738997116683,403,338,262,141,76,65.01240694789082,0.8263651088409036,0.0039745201453721775,0.3645182251930237,3.602204442024231,161.0216827392578
results27_640_int8_round2_s8s8_conv_entropy,0.17,0.7577781677246094,55.956191669489876,65.12738997116683,338,268,206,132,62,60.946745562130175,0.8371404017276864,0.0039745201453721775,0.3645182251930237,3.602204442024231,161.0216827392578
results27_640_int8_round2_s8s8_conv_entropy,0.2,0.7577781677246094,55.956191669489876,65.12738997116683,269,205,169,100,36,62.825278810408925,0.8446694461475157,0.0039745201453721775,0.3645182251930237,3.602204442024231,161.0216827392578
results27_640_int8_round2_s8s8_conv_entropy,0.25,0.7577781677246094,55.956191669489876,65.12738997116683,190,135,118,72,17,62.10526315789474,0.8609212288854707,0.0039745201453721775,0.3645182251930237,3.602204442024231,161.0216827392578
results27_640_int8_round2_s8s8_conv_entropy,0.3,0.7577781677246094,55.956191669489876,65.12738997116683,133,87,77,56,10,57.89473684210526,0.8728273859340313,0.0039745201453721775,0.3645182251930237,3.602204442024231,161.0216827392578
results27_640_int8_round2_u8s8_conv_minmax,0.1,0.7568197250366211,42.42196666697661,54.11008498631418,760,879,492,268,387,64.73684210526316,0.7928381325895075,0.004207614285405725,0.454632431268692,3.539530607064565,168.99301147460938
results27_640_int8_round2_u8s8_conv_minmax,0.15,0.7568197250366211,42.42196666697661,54.11008498631418,403,384,254,149,130,63.0272952853598,0.8256803067590726,0.004207614285405725,0.454632431268692,3.539530607064565,168.99301147460938
results27_640_int8_round2_u8s8_conv_minmax,0.17,0.7568197250366211,42.42196666697661,54.11008498631418,338,292,205,133,87,60.650887573964496,0.8390064030378426,0.004207614285405725,0.454632431268692,3.539530607064565,168.99301147460938
results27_640_int8_round2_u8s8_conv_minmax,0.2,0.7568197250366211,42.42196666697661,54.11008498631418,269,212,156,113,56,57.99256505576208,0.8483180999545626,0.004207614285405725,0.454632431268692,3.539530607064565,168.99301147460938
results27_640_int8_round2_u8s8_conv_minmax,0.25,0.7568197250366211,42.42196666697661,54.11008498631418,190,142,113,77,29,59.473684210526315,0.8678986725071574,0.004207614285405725,0.454632431268692,3.539530607064565,168.99301147460938
results27_640_int8_round2_u8s8_conv_minmax,0.3,0.7568197250366211,42.42196666697661,54.11008498631418,133,88,76,57,12,57.142857142857146,0.8785511325261897,0.004207614285405725,0.454632431268692,3.539530607064565,168.99301147460938
results27_640_int8_round2_u8u8_conv_minmax,0.1,0.7610559463500977,50.38115332912033,59.377184984623455,760,885,494,266,391,65.0,0.7878892817242985,0.004305028277061259,0.4483000636100769,4.0652536710103355,180.59225463867188
results27_640_int8_round2_u8u8_conv_minmax,0.15,0.7610559463500977,50.38115332912033,59.377184984623455,403,384,258,145,126,64.0198511166253,0.8153371558921148,0.004305028277061259,0.4483000636100769,4.0652536710103355,180.59225463867188
results27_640_int8_round2_u8u8_conv_minmax,0.17,0.7610559463500977,50.38115332912033,59.377184984623455,338,305,212,126,93,62.72189349112426,0.822790425962821,0.004305028277061259,0.4483000636100769,4.0652536710103355,180.59225463867188
results27_640_int8_round2_u8u8_conv_minmax,0.2,0.7610559463500977,50.38115332912033,59.377184984623455,269,215,158,111,57,58.7360594795539,0.8415889791823323,0.004305028277061259,0.4483000636100769,4.0652536710103355,180.59225463867188
results27_640_int8_round2_u8u8_conv_minmax,0.25,0.7610559463500977,50.38115332912033,59.377184984623455,190,148,117,73,31,61.578947368421055,0.8533344628451746,0.004305028277061259,0.4483000636100769,4.0652536710103355,180.59225463867188
results27_640_int8_round2_u8u8_conv_minmax,0.3,0.7610559463500977,50.38115332912033,59.377184984623455,133,87,72,61,15,54.13533834586466,0.8733592845393896,0.004305028277061259,0.4483000636100769,4.0652536710103355,180.59225463867188
