model,threshold,size_mb,mean_ms,p95_ms,ref,cand,match,miss,extra,retain_pct,mean_iou,score_mae,box_mae
results27_640_fp32,0.15,1.3276700973510742,17.75006100302562,21.18746998021379,821,821,821,0,0,100.0,1.0000000008921306,0.0,0.0
results27_640_fp32,0.17,1.3276700973510742,17.75006100302562,21.18746998021379,699,699,699,0,0,100.0,1.0000000012292767,0.0,0.0
results27_640_fp32,0.2,1.3276700973510742,17.75006100302562,21.18746998021379,566,566,566,0,0,100.0,1.0000000019639466,0.0,0.0
results27_640_fp32,0.25,1.3276700973510742,17.75006100302562,21.18746998021379,404,404,404,0,0,100.0,1.0000000026888316,0.0,0.0
results27_640_int8_round4_q1_early_only,0.15,1.3739471435546875,30.110399002442136,33.484584937104955,821,764,667,154,97,81.24238733252132,0.8738390111240542,0.002628833493217826,2.5309994447231294
results27_640_int8_round4_q1_early_only,0.17,1.3739471435546875,30.110399002442136,33.484584937104955,699,613,547,152,66,78.2546494992847,0.8826857260207945,0.002628833493217826,2.5309994447231294
results27_640_int8_round4_q1_early_only,0.2,1.3739471435546875,30.110399002442136,33.484584937104955,566,474,443,123,31,78.26855123674912,0.8911607479459965,0.002628833493217826,2.5309994447231294
results27_640_int8_round4_q1_early_only,0.25,1.3739471435546875,30.110399002442136,33.484584937104955,404,326,305,99,21,75.4950495049505,0.9036535602601421,0.002628833493217826,2.5309994447231294
results27_640_int8_round4_q1_q2_prefix50,0.15,1.3357372283935547,33.746667999075726,38.64471996203065,821,758,661,160,97,80.5115712545676,0.8769538846107281,0.0026422092888969927,2.557570984363556
results27_640_int8_round4_q1_q2_prefix50,0.17,1.3357372283935547,33.746667999075726,38.64471996203065,699,602,540,159,62,77.25321888412017,0.8854249039864547,0.0026422092888969927,2.557570984363556
results27_640_int8_round4_q1_q2_prefix50,0.2,1.3357372283935547,33.746667999075726,38.64471996203065,566,474,439,127,35,77.56183745583039,0.8933034579140606,0.0026422092888969927,2.557570984363556
results27_640_int8_round4_q1_q2_prefix50,0.25,1.3357372283935547,33.746667999075726,38.64471996203065,404,323,301,103,22,74.5049504950495,0.9029180651586961,0.0026422092888969927,2.557570984363556
results27_640_int8_round4_q2_only,0.15,1.330277442932129,21.581891999812797,24.790149979526177,821,823,804,17,19,97.92935444579781,0.9811766118293525,0.00029112778822309337,0.2903155581653118
results27_640_int8_round4_q2_only,0.17,1.330277442932129,21.581891999812797,24.790149979526177,699,692,681,18,11,97.42489270386267,0.9825894528004462,0.00029112778822309337,0.2903155581653118
results27_640_int8_round4_q2_only,0.2,1.330277442932129,21.581891999812797,24.790149979526177,566,570,556,10,14,98.23321554770318,0.985315745840927,0.00029112778822309337,0.2903155581653118
results27_640_int8_round4_q2_only,0.25,1.330277442932129,21.581891999812797,24.790149979526177,404,405,398,6,7,98.51485148514851,0.9877949789579732,0.00029112778822309337,0.2903155581653118
results27_640_int8_round4_q3_only,0.15,1.1928348541259766,19.971398999914527,23.345824994612485,821,822,802,19,20,97.6857490864799,0.9775232538040927,0.0002795471911667846,0.25786920040845873
results27_640_int8_round4_q3_only,0.17,1.1928348541259766,19.971398999914527,23.345824994612485,699,699,686,13,13,98.14020028612303,0.9774637985755554,0.0002795471911667846,0.25786920040845873
results27_640_int8_round4_q3_only,0.2,1.1928348541259766,19.971398999914527,23.345824994612485,566,566,551,15,15,97.34982332155477,0.9801278036126999,0.0002795471911667846,0.25786920040845873
results27_640_int8_round4_q3_only,0.25,1.1928348541259766,19.971398999914527,23.345824994612485,404,401,394,10,7,97.52475247524752,0.9828021994344627,0.0002795471911667846,0.25786920040845873
results27_640_int8_round4_q3_q4_suffix50,0.15,0.7288036346435547,21.114237997680902,23.63626498845406,821,819,791,30,28,96.34591961023142,0.9679328841789153,0.000396407074003946,0.3701748105883598
results27_640_int8_round4_q3_q4_suffix50,0.17,0.7288036346435547,21.114237997680902,23.63626498845406,699,697,681,18,16,97.42489270386267,0.9675875866269987,0.000396407074003946,0.3701748105883598
results27_640_int8_round4_q3_q4_suffix50,0.2,0.7288036346435547,21.114237997680902,23.63626498845406,566,558,546,20,12,96.46643109540636,0.9712698051890761,0.000396407074003946,0.3701748105883598
results27_640_int8_round4_q3_q4_suffix50,0.25,0.7288036346435547,21.114237997680902,23.63626498845406,404,393,387,17,6,95.79207920792079,0.9752159445272142,0.000396407074003946,0.3701748105883598
results27_640_int8_round4_q4_late_only,0.15,0.9044561386108398,19.035043999319896,21.43493503681384,821,812,802,19,10,97.6857490864799,0.9782348816960822,0.00027498120223754083,0.2604649417102337
results27_640_int8_round4_q4_late_only,0.17,0.9044561386108398,19.035043999319896,21.43493503681384,699,695,684,15,11,97.85407725321889,0.9779547882174621,0.00027498120223754083,0.2604649417102337
results27_640_int8_round4_q4_late_only,0.2,0.9044561386108398,19.035043999319896,21.43493503681384,566,567,557,9,10,98.40989399293287,0.9784970482458643,0.00027498120223754083,0.2604649417102337
results27_640_int8_round4_q4_late_only,0.25,0.9044561386108398,19.035043999319896,21.43493503681384,404,400,396,8,4,98.01980198019803,0.983259071437918,0.00027498120223754083,0.2604649417102337
