model,threshold,size_mb,mean_ms,p95_ms,ref,cand,match,miss,extra,retain_pct,mean_iou,score_mae,box_mae
results27_640_fp32,0.15,1.3276700973510742,19.303501665126532,23.23330008657649,1064,1064,1064,0,0,100.0,0.9999999993803029,0.0,0.0
results27_640_fp32,0.17,1.3276700973510742,19.303501665126532,23.23330008657649,893,893,893,0,0,100.0,0.9999999987454417,0.0,0.0
results27_640_fp32,0.2,1.3276700973510742,19.303501665126532,23.23330008657649,694,694,694,0,0,100.0,0.9999999989907737,0.0,0.0
results27_640_fp32,0.25,1.3276700973510742,19.303501665126532,23.23330008657649,482,482,482,0,0,100.0,0.9999999992253811,0.0,0.0
results27_640_int8_round4_q3_q4_suffix50,0.15,0.7288036346435547,21.833349170628935,23.640285001602024,1064,1050,1021,43,29,95.95864661654136,0.9670276364110288,0.0003883293274460205,0.3644324603180091
results27_640_int8_round4_q3_q4_suffix50,0.17,0.7288036346435547,21.833349170628935,23.640285001602024,893,885,859,34,26,96.1926091825308,0.9704404425350664,0.0003883293274460205,0.3644324603180091
results27_640_int8_round4_q3_q4_suffix50,0.2,0.7288036346435547,21.833349170628935,23.640285001602024,694,700,674,20,26,97.11815561959654,0.9718738140408016,0.0003883293274460205,0.3644324603180091
results27_640_int8_round4_q3_q4_suffix50,0.25,0.7288036346435547,21.833349170628935,23.640285001602024,482,476,468,14,8,97.0954356846473,0.9782830908834688,0.0003883293274460205,0.3644324603180091
results27_640_int8_round5_q2_q3,0.15,1.1546249389648438,24.933065827159833,27.038015035213903,1064,1060,1027,37,33,96.52255639097744,0.9670561278708374,0.0004313284548212929,0.45361383482813833
results27_640_int8_round5_q2_q3,0.17,1.1546249389648438,24.933065827159833,27.038015035213903,893,881,860,33,21,96.30459126539753,0.971449140563428,0.0004313284548212929,0.45361383482813833
results27_640_int8_round5_q2_q3,0.2,1.1546249389648438,24.933065827159833,27.038015035213903,694,705,677,17,28,97.55043227665706,0.9737969518633184,0.0004313284548212929,0.45361383482813833
results27_640_int8_round5_q2_q3,0.25,1.1546249389648438,24.933065827159833,27.038015035213903,482,481,466,16,15,96.6804979253112,0.9785301814179983,0.0004313284548212929,0.45361383482813833
results27_640_int8_round5_q2_q3_q4,0.15,0.6905851364135742,26.22386833730464,28.879290068289265,1064,1051,1021,43,30,95.95864661654136,0.9620162131107021,0.0005181087160356886,0.5352948596080144
results27_640_int8_round5_q2_q3_q4,0.17,0.6905851364135742,26.22386833730464,28.879290068289265,893,893,858,35,35,96.08062709966406,0.96627208690618,0.0005181087160356886,0.5352948596080144
results27_640_int8_round5_q2_q3_q4,0.2,0.6905851364135742,26.22386833730464,28.879290068289265,694,704,677,17,27,97.55043227665706,0.9695594961073486,0.0005181087160356886,0.5352948596080144
results27_640_int8_round5_q2_q3_q4,0.25,0.6905851364135742,26.22386833730464,28.879290068289265,482,479,465,17,14,96.47302904564316,0.9750325764805177,0.0005181087160356886,0.5352948596080144
results27_640_int8_round5_q2_q4,0.15,0.8662290573120117,23.912535002455115,26.123739953618497,1064,1049,1023,41,26,96.14661654135338,0.9692117404679478,0.00043974449533076647,0.461366040011247
results27_640_int8_round5_q2_q4,0.17,0.8662290573120117,23.912535002455115,26.123739953618497,893,876,854,39,22,95.63269876819709,0.9728008970075884,0.00043974449533076647,0.461366040011247
results27_640_int8_round5_q2_q4,0.2,0.8662290573120117,23.912535002455115,26.123739953618497,694,694,675,19,19,97.26224783861672,0.9741594568289921,0.00043974449533076647,0.461366040011247
results27_640_int8_round5_q2_q4,0.25,0.8662290573120117,23.912535002455115,26.123739953618497,482,480,468,14,12,97.0954356846473,0.9785748174245087,0.00043974449533076647,0.461366040011247
