epoch,learning_rate,train_total,train_classification,train_quality,train_box,train_positive_count,train_gradient_norm,valid_total,valid_classification,valid_quality,valid_box,valid_positive_count,metric_ap50,metric_ap75,metric_map50_95,metric_precision,metric_recall,metric_f1,metric_best_f1,metric_best_f1_threshold,metric_detection_accuracy,metric_tp,metric_fp,metric_fn,metric_mean_tp_iou,metric_average_detections_per_image,metric_no_detection_image_rate,metric_zero_recall_image_rate,metric_score_threshold,metric_tiny_lt16_gt,metric_tiny_lt16_matched,metric_tiny_lt16_recall,metric_small_16_32_gt,metric_small_16_32_matched,metric_small_16_32_recall,metric_medium_32_96_gt,metric_medium_32_96_matched,metric_medium_32_96_recall,metric_large_ge96_gt,metric_large_ge96_matched,metric_large_ge96_recall,train_images_per_second,peak_vram_gib,amp_scale,seconds,warning_count
1,0.0009997532801828658,2.3769741398173494,0.49933307267628707,0.7923248824748126,0.5426580926234071,458.97597402597404,4.593221729529368,2.274154902125398,0.6179543011821806,0.6908968621864915,0.4826518694559733,522.859375,0.040516197681427,0.00022432365221902728,0.007337870668641245,0.102562744890395,0.15615930345049983,0.12380952380952381,0.12392107397317886,0.25048828125,0.06598984771573604,1937,16949,10467,0.5978915691375732,12.335728282168517,0.08752449379490529,0.6041802743305029,0.25,2180,2,0.0009174311926605505,3009,344,0.11432369557992689,5721,1402,0.24506205208879567,1494,189,0.12650602409638553,34.18083757533626,0.3569507598876953,1024.0,608.5094123000745,0
2,0.0009990133642141358,1.966936000755855,0.40244417384073333,0.6709847012510547,0.4467535627933292,459.12142857142857,1.6594893522463836,2.0757558178156614,0.517065581244727,0.6703450360024968,0.4441725978006919,522.859375,0.13847917318344116,0.0014764496590942144,0.02822076143531831,0.21176641698785542,0.23476297968397292,0.22267252915312558,0.22482697665691376,0.267822265625,0.125285032052661,2912,10839,9492,0.6166201829910278,8.981711299804049,0.09797517962116264,0.5127367733507512,0.25,2180,9,0.004128440366972477,3009,707,0.23496178132269857,5721,2052,0.3586785527005768,1494,144,0.0963855421686747,33.23399038566819,0.3589344024658203,1024.0,611.4243850999046,0
3,0.00099778098230154,1.857195756961773,0.36955862749706614,0.6640839674256065,0.4117765820645667,459.1077922077922,1.4471836099376927,1.9960114154964685,0.5108054826656977,0.6601891505221525,0.4125083885155618,522.859375,0.24576051533222198,0.01332254707813263,0.07149522372892533,0.2648594251210768,0.3394872621734924,0.29756562908525597,0.30182310938835144,0.279541015625,0.17478831147268803,4211,11688,8193,0.6592615246772766,10.384715871979099,0.09601567602873938,0.3990855649902025,0.25,2180,50,0.022935779816513763,3009,1233,0.4097706879361914,5721,2605,0.4553399755287537,1494,323,0.21619812583668005,36.01779925978185,0.3579573631286621,2048.0,577.4044714998454,0
4,0.000996057350657239,1.7884362167352206,0.34848417847768054,0.6600822648831777,0.38993488627594786,459.0396103896104,1.36912005617247,2.0753405472884574,0.6380780537923177,0.6558935552214583,0.39068446153153974,522.859375,0.2814890146255493,0.022613147273659706,0.08790601954715385,0.21440023863678737,0.463560141889713,0.2931953190729929,0.34176188707351685,0.346435546875,0.17178024079108536,5750,21069,6654,0.6689906716346741,17.517308948399737,0.016329196603527107,0.21750489875898105,0.25,2180,110,0.05045871559633028,3009,1414,0.46992356264539714,5721,3570,0.6240167802831673,1494,656,0.4390896921017403,35.483543507004114,0.35757875442504883,2048.0,568.9483753000386,0
5,0.0009938441702975688,1.7358591115319884,0.3327014415101571,0.6568270386813523,0.3731653165507626,459.01233766233764,1.3052229949406216,1.902158733457327,0.48966996488161385,0.6528396488477787,0.3798245602908234,522.859375,0.2885207235813141,0.02579466812312603,0.09210848756665654,0.32375519402774844,0.37060625604643666,0.34560012028718573,0.3488502502441406,0.2724609375,0.20889757338907572,4597,9602,7807,0.6775817275047302,9.274330502939256,0.04768125408229915,0.35336381450032656,0.25,2180,77,0.035321100917431195,3009,1217,0.4044533067464274,5721,3012,0.5264813843733613,1494,291,0.19477911646586346,36.1158423880744,0.3589344024658203,2048.0,568.6181361000054,0
6,0.0009911436253643444,1.6942212854886984,0.31967872500226097,0.6544052818765888,0.3600686397451859,459.087012987013,1.2589372352346198,2.040927599494656,0.6530327949052056,0.6521556905160347,0.36786955983067554,522.859375,0.3228696584701538,0.06511256098747253,0.12119210072924033,0.2259930854441544,0.516446307642696,0.3144049079754601,0.3791581988334656,0.348388671875,0.18652457488935476,6406,21940,5998,0.6942340135574341,18.514696276943173,0.016982364467668192,0.18092749836708033,0.25,2180,117,0.053669724770642205,3009,1629,0.5413758723828515,5721,3858,0.6743576297850026,1494,802,0.536813922356091,36.38319891892663,0.35764408111572266,4096.0,565.9589448999614,0
7,0.0009879583809693736,1.663956220196439,0.31090793837974595,0.6525610615680744,0.3502436094953642,459.038961038961,1.218913963514489,1.8818485829979181,0.5082852663472295,0.649304968615373,0.36212917681162554,522.859375,0.38028740882873535,0.06257986277341843,0.14053976937902918,0.32809690045488205,0.5000806191551113,0.39623123602682847,0.43077322840690613,0.302978515625,0.24706257219102243,6203,12703,6201,0.6966707706451416,12.348791639451338,0.022860875244937948,0.16459830176355322,0.25,2180,164,0.07522935779816514,3009,1593,0.5294117647058824,5721,3574,0.6247159587484705,1494,872,0.5836680053547524,38.80208396339953,0.3577895164489746,4096.0,539.4952136001084,0
8,0.0009842915805643154,1.6399291903941662,0.3042374605482275,0.6509344729123178,0.3423786284377823,459.05064935064934,1.210281149830137,1.910097307836016,0.5544675448909402,0.6483127940446138,0.3536584870889783,522.859375,0.39205214381217957,0.07704261690378189,0.1501680843928625,0.30943869260411344,0.5373266688165108,0.39271720236867685,0.45202019810676575,0.31787109375,0.24433609502162915,6665,14874,5739,0.7005074620246887,14.068582625734814,0.005878510777269758,0.12148922273024167,0.25,2180,142,0.06513761467889909,3009,1595,0.5300764373546029,5721,3901,0.6818737982870128,1494,1027,0.6874163319946452,38.89707276313218,0.3589344024658203,8192.0,537.6249895999208,0
9,0.0009801468428384714,1.6183530503279202,0.29626665587549084,0.6498768488695095,0.3361047731204466,459.0831168831169,1.1573134778381942,1.7983033160368602,0.44164776902956265,0.6483367051308354,0.354159420200934,522.859375,0.44524791836738586,0.08640102297067642,0.16898937779023981,0.37965811965811963,0.5371654305062883,0.4448821526340388,0.4936516284942627,0.3173828125,0.2860761667596926,6663,10887,5741,0.7044496536254883,11.46309601567603,0.013716525146962769,0.12736773350751143,0.25,2180,181,0.08302752293577982,3009,1639,0.544699235626454,5721,3787,0.6619472120258696,1494,1056,0.7068273092369478,38.89335813373074,0.3580765724182129,8192.0,525.2841411998961,0
10,0.0009755282581475767,1.5992022341722019,0.2908637129157395,0.648783736956584,0.3297773919806078,458.9902597402597,1.137645110487938,1.7710716066261132,0.43308989827831584,0.6471006929253539,0.3454405115141223,522.859375,0.4404918849468231,0.08051398396492004,0.16810191291751836,0.4108146521093094,0.5126572073524669,0.4561202166194455,0.4831883907318115,0.2998046875,0.29543765099423897,6359,9120,6045,0.7062423229217529,10.110385369039843,0.042455911169170475,0.170476812540823,0.25,2180,125,0.05733944954128441,3009,1571,0.5221003655699568,5721,3728,0.6516343296626463,1494,935,0.6258366800535475,38.85143478743696,0.3589344024658203,8192.0,535.7036007998977,0
